engine,month,egt,ff,n1,n2,egt_n,ff_n,n1_n,n2_n,normal,failure_prob
1,1,1263,4924,11197,9536,True,True,True,True,True,0
1,2,1268,4986,11370,9718,True,True,True,True,True,0
1,3,1294,4991,11449,9829,True,True,True,True,True,0
1,4,1305,5002,11514,9829,True,True,True,True,True,0
1,5,1321,5012,11558,9844,True,True,True,True,True,0
1,6,1370,5098,11577,9982,True,True,True,True,True,0
1,7,1384,5126,11647,9993,True,True,True,True,True,0
1,8,1387,5130,11707,10028,True,True,True,True,True,0
1,9,1409,5153,11717,10028,True,True,True,True,True,0
1,10,1423,5158,11721,10075,True,True,True,True,True,0
1,11,1427,5162,11751,10207,True,True,True,True,True,0
1,12,1472,5173,11761,10224,True,True,True,True,True,0
1,13,1490,5188,11873,10266,True,True,True,True,True,0
1,14,1515,5205,11893,10393,True,True,True,True,True,0
1,15,1563,5231,11933,10485,True,True,True,True,True,0
1,16,1606,5263,11972,10654,True,True,True,True,True,0
1,17,1630,5326,12078,10680,True,True,True,True,True,0
1,18,1666,5336,12107,10744,True,True,True,True,True,0
1,19,1680,5347,12108,10803,True,True,True,True,True,0
1,20,1684,5404,12123,10859,True,True,True,True,True,0
1,21,1699,5411,12180,10928,True,True,True,True,True,0
1,22,1746,5457,12372,10991,True,True,True,True,True,0
1,23,1758,5477,12375,11002,True,True,True,True,True,0
1,24,1821,5477,12407,11023,True,True,True,True,True,0
2,1,1277,4867,11681,10583,True,True,True,True,True,0
2,2,1296,4921,11808,10649,True,True,True,True,True,0
2,3,1336,4933,11947,10845,True,True,True,True,True,0
2,4,1337,4988,12059,10915,True,True,True,True,True,0
2,5,1340,5004,12109,10918,True,True,True,True,True,0
2,6,1407,5058,12120,10939,True,True,True,True,True,0
2,7,1423,5058,12126,10940,True,True,True,True,True,0
2,8,1456,5106,12197,10957,True,True,True,True,True,0
2,9,1522,5113,12211,10959,True,True,True,True,True,0
2,10,1570,5165,12223,11070,True,True,True,True,True,0
2,11,1584,5212,12223,11090,True,True,True,True,True,0
2,12,1589,5287,12225,11159,True,True,True,True,True,0
2,13,1649,5288,12272,11270,True,True,True,True,True,0
2,14,1659,5328,12449,11318,True,True,True,True,True,0
2,15,1672,5333,12515,11576,True,True,True,True,True,0
2,16,1684,5338,12595,11592,True,True,True,True,True,0
2,17,1753,5387,12890,11796,True,True,True,True,True,0
2,18,1794,5400,12956,11814,True,True,True,True,True,0
2,19,1800,5455,12956,11868,True,True,True,True,True,0
2,20,1807,5478,13050,11907,True,True,True,True,True,0
2,21,1814,5542,13107,11924,True,False,True,True,False,25
2,22,1814,5555,13157,11981,True,False,True,True,False,25
2,23,1898,5559,13183,11981,True,False,True,True,False,25
2,24,1901,5581,13222,12037,False,False,True,False,False,75
3,1,1109,4830,12417,10116,True,True,True,True,True,0
