engine,month,air_temp,noise,epr,egt,ff,n1,n2,noise_n,epr_n,egt_n,ff_n,n1_n,n2_n,normal,failure_prob
1,1,-15,130,49,1300,5000,12000,1000,True,True,True,True,True,True,True,0
1,2,-4,130,49,1511,5215,13065,11064,True,True,True,True,True,True,True,0
1,3,-13,130,49,1531,5226,13102,11090,True,True,True,True,True,True,True,0
1,4,-12,130,49,1543,5234,13134,11123,True,True,True,True,True,True,True,0
1,5,-5,131,50,1553,5241,13156,11160,True,True,True,True,True,True,True,0
1,6,-15,131,49,1564,5245,13195,11179,True,True,True,True,True,True,True,0
1,7,-13,131,50,1572,5258,13239,11217,True,True,True,True,True,True,True,0
1,8,-10,131,50,1585,5271,13271,11267,True,True,True,True,True,True,True,0
1,9,-10,131,48,1588,5272,13313,11303,True,True,True,True,True,True,True,0
1,10,-6,132,48,1606,5289,13340,11324,True,True,True,True,True,True,True,0
1,11,-7,132,50,1617,5297,13360,11362,True,True,True,True,True,True,True,0
1,12,-10,132,48,1627,5306,13405,11391,True,True,True,True,True,True,True,0
1,13,-12,132,50,1632,5312,13444,11436,True,True,True,True,True,True,True,0
1,14,-8,132,49,1646,5323,13480,11486,True,True,True,True,True,True,True,0
1,15,-11,133,50,1661,5329,13516,11517,True,True,True,True,False,False,False,2
1,16,-6,133,48,1670,5341,13558,11537,True,True,True,True,False,False,False,4
1,17,-14,133,48,1679,5348,13593,11593,True,True,True,True,False,False,False,6
1,18,-4,133,48,1697,5354,13626,11621,True,True,True,False,False,False,False,9
1,19,-11,133,50,1699,5363,13651,11640,True,True,True,False,False,False,False,12
1,20,-15,134,48,1709,5379,13696,11680,True,True,True,False,False,False,False,15
1,21,-8,134,48,1730,5381,13705,11729,True,True,True,False,False,False,False,18
1,22,-12,134,50,1732,5395,13739,11766,True,True,True,False,False,False,False,21
1,23,-3,134,49,1743,5398,13794,11779,True,True,True,False,False,False,False,24
1,24,-3,134,49,1760,5409,13829,11837,True,True,False,False,False,False,False,28
1,25,-14,135,48,1769,5417,13859,11873,True,True,False,False,False,False,False,32
1,26,-10,135,50,1778,5433,13879,11890,True,True,False,False,False,False,False,36
1,27,-9,135,49,1794,5434,13911,11942,True,True,False,False,False,False,False,40
1,28,-8,135,50,1801,5446,13963,11948,True,True,False,False,False,False,False,44
1,29,-4,135,49,1816,5457,14010,11981,True,True,False,False,False,False,False,48
1,30,-15,136,50,1827,5468,14035,12048,True,True,False,False,False,False,False,52
1,31,-5,136,50,1837,5476,14069,12053,True,True,False,False,False,False,False,56
1,32,-2,136,50,1847,5482,14105,12095,True,True,False,False,False,False,False,60
1,33,-10,136,50,1855,5490,14126,12131,True,True,False,False,False,False,False,64
1,34,-8,136,49,1870,5498,14168,12171,True,True,False,False,False,False,False,68
1,35,-5,137,48,1884,5509,14203,12192,True,True,False,False,False,False,False,72
1,36,-8,137,49,1888,5520,14225,12243,True,True,False,False,False,False,False,76
1,37,-7,137,50,1904,5528,14268,12290,True,True,False,False,False,False,False,80
1,38,-5,137,52,1917,5541,14305,12295,True,False,False,False,False,False,False,85
1,39,-8,137,51,1923,5549,14352,12346,True,False,False,False,False,False,False,90
1,40,-14,138,49,1937,5555,14386,12397,False,True,False,False,False,False,False,95
1,41,-8,138,51,1945,5566,14423,12407,False,False,False,False,False,False,False,100
1,42,0,138,52,1951,5569,14435,12464,False,False,False,False,False,False,False,100
1,43,-9,138,50,1970,5586,14489,12474,False,True,False,False,False,False,False,100
1,44,-1,138,52,1982,5593,14511,12539,False,False,False,False,False,False,False,100
1,45,-9,139,49,1993,5599,14560,12566,False,True,False,False,False,False,False,100
1,46,-3,139,52,2005,5605,14586,12606,False,False,False,False,False,False,False,100
1,47,-5,139,51,2011,5620,14642,12633,False,False,False,False,False,False,False,100
1,48,-11,139,50,2020,5624,14657,12655,False,True,False,False,False,False,False,100
1,49,-11,139,52,2031,5634,14683,12692,False,False,False,False,False,False,False,100
1,50,-13,140,51,2042,5643,14746,12723,False,False,False,False,False,False,False,100
1,51,-3,140,51,2052,5657,14784,12784,False,False,False,False,False,False,False,100
1,52,-11,140,50,2067,5663,14816,12808,False,True,False,False,False,False,False,100
1,53,-8,140,50,2076,5674,14854,12841,False,True,False,False,False,False,False,100
1,54,-2,140,51,2084,5682,14859,12872,False,False,False,False,False,False,False,100
1,55,-14,141,51,2097,5692,14910,12916,False,False,False,False,False,False,False,100
1,56,-3,141,49,2110,5696,14953,12934,False,True,False,False,False,False,False,100
1,57,-11,141,49,2119,5707,14988,12984,False,True,False,False,False,False,False,100
1,58,-2,141,49,2135,5719,15019,13000,False,True,False,False,False,False,False,100
1,59,-15,141,50,2141,5724,15055,13050,False,True,False,False,False,False,False,100
1,60,-8,142,49,2156,5737,15081,13095,False,True,False,False,False,False,False,100
2,1,-10,130,49,1300,5000,12000,1000,True,True,True,True,True,True,True,0
2,2,-8,130,49,1521,5217,13039,11063,True,True,True,True,True,True,True,0
2,3,-10,130,50,1527,5218,13082,11082,True,True,True,True,True,True,True,0
2,4,-10,130,49,1540,5231,13116,11127,True,True,True,True,True,True,True,0
2,5,-9,131,48,1546,5239,13140,11151,True,True,True,True,True,True,True,0
2,6,-6,131,49,1564,5249,13203,11192,True,True,True,True,True,True,True,0
2,7,-6,131,50,1567,5259,13227,11238,True,True,True,True,True,True,True,0
2,8,-4,131,48,1586,5265,13279,11245,True,True,True,True,True,True,True,0
2,9,-10,131,48,1595,5280,13308,11280,True,True,True,True,True,True,True,0
2,10,-9,132,48,1603,5284,13327,11335,True,True,True,True,True,True,True,0
2,11,-1,132,50,1610,5295,13376,11371,True,True,True,True,True,True,True,0
2,12,-7,132,50,1630,5303,13390,11400,True,True,True,True,True,True,True,0
2,13,-10,132,49,1634,5315,13429,11449,True,True,True,True,True,True,True,0
2,14,0,132,48,1653,5323,13473,11469,True,True,True,True,True,True,True,0
2,15,0,133,50,1664,5327,13496,11502,True,True,True,True,True,False,False,1
2,16,-5,133,50,1668,5338,13536,11546,True,True,True,True,False,False,False,3
2,17,-12,133,50,1680,5348,13576,11585,True,True,True,True,False,False,False,5
2,18,-9,133,50,1690,5356,13613,11604,True,True,True,False,False,False,False,8
2,19,-4,133,48,1706,5365,13651,11654,True,True,True,False,False,False,False,11
2,20,-10,134,48,1711,5378,13689,11679,True,True,True,False,False,False,False,14
2,21,-4,134,50,1729,5383,13722,11703,True,True,True,False,False,False,False,17
2,22,-5,134,50,1737,5390,13756,11753,True,True,True,False,False,False,False,20
2,23,-6,134,48,1746,5403,13798,11791,True,True,True,False,False,False,False,23
2,24,-13,134,48,1755,5407,13818,11809,True,True,False,False,False,False,False,27
2,25,-1,135,48,1771,5423,13861,11874,True,True,False,False,False,False,False,31
2,26,-9,135,49,1781,5425,13890,11879,True,True,False,False,False,False,False,35
2,27,-12,135,48,1790,5439,13917,11920,True,True,False,False,False,False,False,39
2,28,-9,135,49,1797,5449,13971,11949,True,True,False,False,False,False,False,43
2,29,-14,135,49,1815,5453,13994,11997,True,True,False,False,False,False,False,47
2,30,-15,136,50,1820,5465,14016,12046,True,True,False,False,False,False,False,51
2,31,-13,136,49,1831,5473,14051,12060,True,True,False,False,False,False,False,55
2,32,-7,136,50,1841,5484,14090,12114,True,True,False,False,False,False,False,59
2,33,0,136,48,1860,5491,14134,12134,True,True,False,False,False,False,False,63
2,34,-8,136,48,1863,5502,14178,12171,True,True,False,False,False,False,False,67
2,35,-1,137,48,1876,5510,14209,12219,True,True,False,False,False,False,False,71
2,36,-13,137,48,1891,5518,14230,12235,True,True,False,False,False,False,False,75
2,37,-15,137,51,1903,5525,14283,12260,True,False,False,False,False,False,False,80
2,38,-12,137,51,1914,5535,14311,12296,True,False,False,False,False,False,False,85
2,39,-14,137,50,1927,5544,14340,12330,True,True,False,False,False,False,False,89
2,40,-14,138,50,1939,5556,14371,12367,False,True,False,False,False,False,False,94
2,41,-2,138,50,1947,5564,14425,12422,False,True,False,False,False,False,False,99
2,42,-15,138,52,1961,5569,14439,12459,False,False,False,False,False,False,False,100
2,43,-8,138,52,1972,5585,14502,12502,False,False,False,False,False,False,False,100
2,44,-5,138,49,1976,5592,14535,12505,False,True,False,False,False,False,False,100
2,45,-9,139,52,1984,5598,14542,12568,False,False,False,False,False,False,False,100
2,46,-1,139,50,2001,5608,14587,12583,False,True,False,False,False,False,False,100
2,47,-1,139,50,2012,5621,14636,12631,False,True,False,False,False,False,False,100
2,48,-6,139,52,2023,5627,14661,12649,False,False,False,False,False,False,False,100
2,49,-6,139,51,2033,5639,14694,12681,False,False,False,False,False,False,False,100
2,50,-8,140,52,2041,5643,14728,12730,False,False,False,False,False,False,False,100
2,51,-14,140,51,2056,5654,14780,12779,False,False,False,False,False,False,False,100
2,52,-5,140,52,2071,5663,14792,12808,False,False,False,False,False,False,False,100
2,53,-7,140,49,2073,5675,14834,12822,False,True,False,False,False,False,False,100
2,54,-14,140,51,2085,5680,14871,12857,False,False,False,False,False,False,False,100
2,55,-4,141,51,2095,5690,14915,12894,False,False,False,False,False,False,False,100
2,56,-2,141,50,2115,5702,14954,12935,False,True,False,False,False,False,False,100
2,57,-6,141,52,2120,5708,14987,12965,False,False,False,False,False,False,False,100
2,58,-8,141,52,2129,5721,15011,12995,False,False,False,False,False,False,False,100
2,59,0,141,51,2144,5724,15063,13040,False,False,False,False,False,False,False,100
2,60,-9,142,50,2154,5738,15095,13096,False,True,False,False,False,False,False,100
3,1,-9,130,50,1300,5000,12000,1000,True,True,True,True,True,True,True,0
3,2,-1,130,49,1513,5210,13054,11066,True,True,True,True,True,True,True,0
3,3,-3,130,50,1527,5223,13102,11103,True,True,True,True,True,True,True,0
3,4,-10,130,48,1535,5234,13132,11121,True,True,True,True,True,True,True,0
3,5,-10,131,48,1551,5241,13158,11171,True,True,True,True,True,True,True,0
3,6,-11,131,49,1555,5248,13207,11194,True,True,True,True,True,True,True,0
3,7,-6,131,48,1567,5256,13219,11210,True,True,True,True,True,True,True,0
3,8,-13,131,48,1583,5269,13252,11267,True,True,True,True,True,True,True,0
3,9,-10,131,48,1594,5276,13299,11304,True,True,True,True,True,True,True,0
3,10,-5,132,50,1609,5288,13328,11324,True,True,True,True,True,True,True,0
3,11,-11,132,49,1617,5293,13366,11367,True,True,True,True,True,True,True,0
3,12,-1,132,48,1627,5306,13388,11416,True,True,True,True,True,True,True,0
3,13,-9,132,49,1633,5308,13432,11424,True,True,True,True,True,True,True,0
3,14,-6,132,50,1647,5318,13457,11480,True,True,True,True,True,True,True,0
3,15,-10,133,49,1658,5329,13506,11506,True,True,True,True,False,False,False,2
3,16,-14,133,49,1675,5340,13529,11536,True,True,True,True,False,False,False,4
3,17,-2,133,48,1685,5345,13572,11561,True,True,True,True,False,False,False,6
3,18,-5,133,48,1690,5358,13596,11629,True,True,True,False,False,False,False,9
3,19,-4,133,49,1700,5365,13638,11655,True,True,True,False,False,False,False,12
3,20,-12,134,48,1713,5372,13696,11669,True,True,True,False,False,False,False,15
3,21,-8,134,49,1723,5387,13700,11722,True,True,True,False,False,False,False,18
3,22,-2,134,50,1734,5391,13745,11744,True,True,True,False,False,False,False,21
3,23,-13,134,48,1746,5400,13770,11775,True,True,True,False,False,False,False,24
3,24,-1,134,50,1756,5408,13820,11810,True,True,False,False,False,False,False,28
3,25,-2,135,49,1773,5418,13848,11872,True,True,False,False,False,False,False,32
3,26,-13,135,49,1778,5429,13894,11900,True,True,False,False,False,False,False,36
3,27,-1,135,49,1786,5438,13937,11922,True,True,False,False,False,False,False,40
3,28,-8,135,49,1806,5444,13963,11970,True,True,False,False,False,False,False,44
3,29,-6,135,50,1808,5452,13997,11994,True,True,False,False,False,False,False,48
3,30,-9,136,49,1827,5461,14025,12026,True,True,False,False,False,False,False,52
3,31,-2,136,49,1830,5471,14058,12051,True,True,False,False,False,False,False,56
3,32,-11,136,50,1841,5480,14085,12106,True,True,False,False,False,False,False,60
3,33,-7,136,49,1859,5491,14140,12139,True,True,False,False,False,False,False,64
3,34,-7,136,50,1863,5502,14171,12162,True,True,False,False,False,False,False,68
3,35,-14,137,48,1884,5508,14199,12212,True,True,False,False,False,False,False,72
3,36,-8,137,49,1886,5523,14240,12240,True,True,False,False,False,False,False,76
3,37,-7,137,49,1905,5529,14268,12265,True,True,False,False,False,False,False,80
3,38,-9,137,52,1909,5534,14322,12305,True,False,False,False,False,False,False,85
3,39,-2,137,51,1926,5547,14347,12347,True,False,False,False,False,False,False,90
3,40,0,138,49,1934,5555,14371,12385,False,True,False,False,False,False,False,95
3,41,-1,138,52,1943,5561,14426,12406,False,False,False,False,False,False,False,100
3,42,-13,138,50,1959,5571,14439,12438,False,True,False,False,False,False,False,100
3,43,-6,138,51,1963,5583,14500,12487,False,False,False,False,False,False,False,100
3,44,-2,138,49,1979,5593,14518,12536,False,True,False,False,False,False,False,100
