engine,month,air_temp,noise,epr,egt,ff,n1,n2,noise_n,epr_n,egt_n,ff_n,n1_n,n2_n,normal,failure_prob
1,1,-3,130,50,1300,5000,12000,1000,True,True,True,True,True,True,True,0
1,2,-15,130,49,1611,5013,12058,10059,True,True,True,True,True,True,True,0
1,3,-6,130,49,1631,5026,12103,10080,True,True,True,True,True,True,True,0
1,4,-5,130,49,1639,5030,12129,10117,True,True,True,True,True,True,True,0
1,5,-15,131,48,1647,5044,12150,10144,True,True,True,True,True,True,True,0
1,6,0,131,48,1661,5050,12189,10198,True,True,True,True,True,True,True,0
1,7,-15,131,49,1666,5055,12234,10243,True,True,True,True,True,True,True,0
1,8,-15,131,48,1684,5068,12269,10260,True,True,True,True,True,True,True,0
1,9,-6,131,49,1697,5079,12308,10304,True,True,True,True,True,True,True,0
1,10,-8,132,50,1709,5087,12325,10347,True,True,True,True,True,True,True,0
1,11,-12,132,50,1710,5092,12376,10353,True,True,True,True,True,True,True,0
1,12,-9,132,49,1722,5099,12398,10412,True,True,True,True,True,True,True,0
1,13,-11,132,50,1739,5108,12426,10428,True,True,True,True,True,True,True,0
1,14,-5,132,48,1749,5123,12475,10488,True,True,True,True,True,True,True,0
1,15,-7,133,50,1760,5134,12519,10523,True,True,False,True,True,True,False,1
1,16,0,133,50,1770,5142,12526,10528,True,True,False,True,True,True,False,2
1,17,-3,133,48,1780,5147,12567,10568,True,True,False,True,True,True,False,3
1,18,-14,133,50,1793,5153,12596,10617,True,True,False,True,True,True,False,4
1,19,-14,133,49,1799,5166,12654,10650,True,True,False,True,True,True,False,5
1,20,-2,134,50,1811,5176,12682,10666,True,True,False,True,True,True,False,6
1,21,-14,134,50,1825,5180,12717,10716,True,True,False,True,True,True,False,7
1,22,-9,134,48,1841,5189,12746,10746,True,True,False,True,True,True,False,8
1,23,-9,134,48,1843,5199,12776,10787,True,True,False,True,True,True,False,9
1,24,-14,134,48,1858,5212,12815,10821,True,True,False,True,True,True,False,10
1,25,-13,135,49,1865,5217,12854,10850,True,True,False,True,True,True,False,11
1,26,-4,135,49,1876,5231,12881,10900,True,True,False,True,True,True,False,12
1,27,-3,135,48,1887,5234,12921,10940,True,True,False,True,True,True,False,13
1,28,-6,135,50,1898,5244,12949,10976,True,True,False,True,True,True,False,14
1,29,-8,135,49,1911,5257,13012,11005,True,True,False,True,True,True,False,15
1,30,-13,136,49,1928,5265,13017,11035,True,True,False,True,True,True,False,16
1,31,-3,136,48,1940,5275,13070,11080,True,True,False,True,True,True,False,17
1,32,-15,136,50,1945,5279,13116,11092,True,True,False,True,True,True,False,18
1,33,-8,136,48,1959,5292,13141,11132,True,True,False,True,True,True,False,19
1,34,-3,136,49,1965,5300,13158,11180,True,True,False,True,True,True,False,20
1,35,-1,137,50,1979,5306,13222,11218,True,True,False,True,True,True,False,21
1,36,-6,137,48,1987,5322,13228,11257,True,True,False,True,True,True,False,22
1,37,-5,137,51,1997,5328,13287,11291,True,False,False,True,True,True,False,24
1,38,-15,137,49,2013,5338,13300,11328,True,True,False,True,True,True,False,25
1,39,-13,137,50,2019,5343,13363,11331,True,True,False,True,True,True,False,26
1,40,-13,138,49,2034,5352,13395,11368,False,True,False,False,True,True,False,29
1,41,0,138,49,2042,5368,13400,11413,False,True,False,False,True,True,False,32
1,42,-6,138,52,2055,5370,13460,11463,False,False,False,False,True,True,False,36
1,43,-13,138,51,2068,5384,13494,11475,False,False,False,False,True,True,False,40
1,44,-4,138,52,2083,5391,13537,11535,False,False,False,False,False,False,False,46
1,45,-2,139,51,2088,5401,13567,11571,False,False,False,False,False,False,False,52
1,46,-2,139,52,2097,5406,13597,11608,False,False,False,False,False,False,False,58
1,47,-14,139,50,2113,5418,13621,11614,False,True,False,False,False,False,False,63
1,48,-11,139,50,2119,5428,13651,11656,False,True,False,False,False,False,False,68
1,49,-8,139,49,2128,5437,13699,11698,False,True,False,False,False,False,False,73
1,50,-11,140,50,2143,5443,13746,11745,False,True,False,False,False,False,False,78
1,51,-13,140,50,2152,5457,13783,11758,False,True,False,False,False,False,False,83
1,52,-6,140,50,2168,5463,13815,11787,False,True,False,False,False,False,False,88
1,53,-13,140,49,2180,5471,13826,11834,False,True,False,False,False,False,False,93
1,54,-15,140,50,2187,5481,13863,11857,False,True,False,False,False,False,False,98
1,55,-11,141,49,2194,5487,13890,11916,False,True,False,False,False,False,False,100
1,56,-1,141,50,2212,5498,13946,11957,False,True,False,False,False,False,False,100
1,57,-9,141,49,2218,5506,13981,11992,False,True,False,False,False,False,False,100
1,58,-7,141,50,2235,5521,14025,12004,False,True,False,False,False,False,False,100
1,59,-14,141,49,2245,5529,14042,12034,False,True,False,False,False,False,False,100
1,60,-7,142,51,2256,5535,14082,12079,False,False,False,False,False,False,False,100
2,1,-7,130,50,1300,5000,12000,1000,True,True,True,True,True,True,True,0
2,2,-14,130,49,1611,5017,12052,10062,True,True,True,True,True,True,True,0
2,3,-6,130,50,1628,5023,12086,10077,True,True,True,True,True,True,True,0
2,4,-7,130,48,1635,5033,12120,10111,True,True,True,True,True,True,True,0
2,5,-7,131,50,1646,5044,12162,10168,True,True,True,True,True,True,True,0
2,6,-3,131,48,1661,5050,12181,10192,True,True,True,True,True,True,True,0
2,7,-8,131,48,1674,5056,12224,10225,True,True,True,True,True,True,True,0
2,8,-6,131,50,1685,5063,12245,10279,True,True,True,True,True,True,True,0
2,9,0,131,48,1698,5079,12293,10299,True,True,True,True,True,True,True,0
2,10,-5,132,49,1708,5083,12335,10323,True,True,True,True,True,True,True,0
2,11,-15,132,49,1712,5093,12361,10359,True,True,True,True,True,True,True,0
2,12,-4,132,49,1723,5106,12397,10417,True,True,True,True,True,True,True,0
2,13,-9,132,48,1740,5116,12435,10436,True,True,True,True,True,True,True,0
2,14,-5,132,48,1748,5122,12473,10475,True,True,True,True,True,True,True,0
2,15,-4,133,48,1761,5126,12513,10504,True,True,False,True,True,True,False,1
2,16,-9,133,49,1767,5142,12555,10529,True,True,False,True,True,True,False,2
2,17,-10,133,48,1778,5144,12581,10589,True,True,False,True,True,True,False,3
2,18,-1,133,49,1796,5160,12618,10597,True,True,False,True,True,True,False,4
2,19,-3,133,50,1800,5167,12632,10657,True,True,False,True,True,True,False,5
2,20,-7,134,50,1819,5175,12676,10665,True,True,False,True,True,True,False,6
2,21,-3,134,50,1827,5182,12717,10714,True,True,False,True,True,True,False,7
2,22,-12,134,48,1831,5192,12767,10741,True,True,False,True,True,True,False,8
2,23,-12,134,50,1846,5205,12784,10790,True,True,False,True,True,True,False,9
2,24,-5,134,49,1861,5215,12823,10806,True,True,False,True,True,True,False,10
2,25,-2,135,49,1873,5219,12842,10858,True,True,False,True,True,True,False,11
2,26,-7,135,50,1881,5231,12894,10907,True,True,False,True,True,True,False,12
2,27,-11,135,50,1892,5241,12928,10924,True,True,False,True,True,True,False,13
2,28,-1,135,49,1906,5250,12954,10979,True,True,False,True,True,True,False,14
2,29,-6,135,48,1913,5258,13001,10995,True,True,False,True,True,True,False,15
2,30,-11,136,49,1921,5267,13018,11039,True,True,False,True,True,True,False,16
2,31,-14,136,49,1934,5270,13076,11056,True,True,False,True,True,True,False,17
2,32,-2,136,48,1949,5284,13089,11097,True,True,False,True,True,True,False,18
2,33,-4,136,48,1962,5290,13124,11128,True,True,False,True,True,True,False,19
2,34,-15,136,49,1972,5302,13184,11157,True,True,False,True,True,True,False,20
2,35,-7,137,49,1980,5308,13197,11192,True,True,False,True,True,True,False,21
2,36,-3,137,48,1989,5318,13238,11238,True,True,False,True,True,True,False,22
2,37,-12,137,51,1997,5328,13278,11276,True,False,False,True,True,True,False,24
2,38,-14,137,52,2009,5338,13322,11301,True,False,False,True,True,True,False,26
2,39,0,137,51,2026,5342,13335,11340,True,False,False,True,True,True,False,28
2,40,-11,138,52,2033,5359,13394,11397,False,False,False,False,True,True,False,32
2,41,0,138,49,2049,5362,13412,11405,False,True,False,False,True,True,False,35
2,42,-8,138,52,2059,5374,13455,11444,False,False,False,False,True,True,False,39
2,43,-14,138,49,2068,5380,13477,11471,False,True,False,False,True,True,False,42
2,44,-5,138,52,2073,5395,13524,11509,False,False,False,False,False,False,False,48
2,45,-5,139,51,2085,5404,13543,11557,False,False,False,False,False,False,False,54
2,46,-5,139,51,2099,5412,13589,11593,False,False,False,False,False,False,False,60
2,47,-3,139,50,2114,5418,13613,11618,False,True,False,False,False,False,False,65
2,48,-9,139,52,2125,5425,13670,11662,False,False,False,False,False,False,False,71
2,49,-5,139,51,2129,5438,13683,11692,False,False,False,False,False,False,False,77
2,50,-6,140,51,2143,5447,13722,11718,False,False,False,False,False,False,False,83
2,51,-10,140,52,2150,5451,13770,11755,False,False,False,False,False,False,False,89
2,52,-4,140,51,2168,5462,13789,11807,False,False,False,False,False,False,False,95
2,53,-4,140,50,2179,5471,13824,11851,False,True,False,False,False,False,False,100
2,54,-1,140,51,2186,5483,13862,11878,False,False,False,False,False,False,False,100
2,55,-11,141,50,2203,5490,13921,11918,False,True,False,False,False,False,False,100
2,56,-10,141,49,2205,5497,13936,11950,False,True,False,False,False,False,False,100
2,57,-2,141,51,2222,5507,13992,11984,False,False,False,False,False,False,False,100
2,58,-9,141,50,2230,5519,14005,12024,False,True,False,False,False,False,False,100
2,59,-6,141,49,2238,5529,14033,12047,False,True,False,False,False,False,False,100
2,60,-7,142,49,2251,5537,14082,12074,False,True,False,False,False,False,False,100
3,1,-5,130,50,1300,5000,12000,1000,True,True,True,True,True,True,True,0
3,2,-5,130,48,1620,5014,12043,10053,True,True,True,True,True,True,True,0
3,3,-9,130,50,1632,5022,12103,10080,True,True,True,True,True,True,True,0
3,4,-14,130,49,1637,5034,12133,10129,True,True,True,True,True,True,True,0
3,5,-9,131,50,1645,5044,12161,10163,True,True,True,True,True,True,True,0
3,6,-4,131,49,1657,5047,12192,10209,True,True,True,True,True,True,True,0
3,7,-5,131,48,1675,5060,12235,10244,True,True,True,True,True,True,True,0
3,8,-11,131,49,1687,5070,12246,10259,True,True,True,True,True,True,True,0
3,9,-13,131,49,1691,5077,12285,10309,True,True,True,True,True,True,True,0
3,10,-11,132,50,1707,5084,12319,10329,True,True,True,True,True,True,True,0
3,11,-11,132,50,1716,5095,12364,10373,True,True,True,True,True,True,True,0
3,12,-6,132,49,1728,5105,12404,10419,True,True,True,True,True,True,True,0
3,13,-11,132,48,1738,5109,12450,10441,True,True,True,True,True,True,True,0
3,14,-10,132,49,1753,5124,12477,10467,True,True,False,True,True,True,False,1
3,15,-4,133,50,1757,5134,12495,10517,True,True,False,True,True,True,False,2
3,16,-14,133,48,1766,5138,12537,10533,True,True,False,True,True,True,False,3
3,17,-1,133,49,1776,5151,12563,10582,True,True,False,True,True,True,False,4
3,18,-1,133,50,1789,5154,12600,10609,True,True,False,True,True,True,False,5
3,19,-5,133,50,1799,5170,12643,10632,True,True,False,True,True,True,False,6
3,20,-10,134,50,1817,5173,12681,10675,True,True,False,True,True,True,False,7
3,21,0,134,48,1830,5183,12734,10727,True,True,False,True,True,True,False,8
3,22,-2,134,50,1836,5194,12755,10749,True,True,False,True,True,True,False,9
3,23,-5,134,49,1843,5201,12789,10787,True,True,False,True,True,True,False,10
3,24,-4,134,48,1859,5215,12824,10821,True,True,False,True,True,True,False,11
3,25,-1,135,49,1868,5219,12863,10869,True,True,False,True,True,True,False,12
3,26,-15,135,48,1882,5231,12885,10881,True,True,False,True,True,True,False,13
3,27,-8,135,50,1896,5237,12943,10929,True,True,False,True,True,True,False,14
3,28,-7,135,50,1904,5248,12961,10949,True,True,False,True,True,True,False,15
3,29,-2,135,49,1913,5258,12985,10996,True,True,False,True,True,True,False,16
3,30,-5,136,50,1928,5269,13047,11019,True,True,False,True,True,True,False,17
3,31,-10,136,50,1940,5272,13060,11051,True,True,False,True,True,True,False,18
3,32,-12,136,50,1950,5282,13089,11111,True,True,False,True,True,True,False,19
3,33,-15,136,48,1957,5289,13123,11130,True,True,False,True,True,True,False,20
3,34,-1,136,50,1970,5298,13172,11170,True,True,False,True,True,True,False,21
3,35,-6,137,49,1982,5311,13202,11214,True,True,False,True,True,True,False,22
3,36,-15,137,49,1992,5319,13250,11229,True,True,False,True,True,True,False,23
3,37,-5,137,52,2003,5327,13290,11290,True,False,False,True,True,True,False,25
3,38,-15,137,52,2012,5340,13310,11308,True,False,False,True,True,True,False,27
3,39,-5,137,50,2023,5346,13363,11355,True,True,False,True,True,True,False,28
3,40,-12,138,52,2037,5352,13393,11383,False,False,False,False,True,True,False,32
3,41,-3,138,52,2046,5368,13429,11410,False,False,False,False,True,True,False,36
3,42,-9,138,50,2057,5375,13452,11455,False,True,False,False,True,True,False,39
3,43,-7,138,49,2065,5386,13471,11483,False,True,False,False,True,True,False,42
3,44,0,138,52,2076,5387,13506,11517,False,False,False,False,False,False,False,48
3,45,-4,139,49,2084,5403,13565,11543,False,True,False,False,False,False,False,53
3,46,-4,139,52,2104,5410,13593,11604,False,False,False,False,False,False,False,59
3,47,-6,139,49,2107,5418,13610,11630,False,True,False,False,False,False,False,64
3,48,-5,139,50,2124,5430,13646,11658,False,True,False,False,False,False,False,69
3,49,-12,139,51,2129,5432,13691,11686,False,False,False,False,False,False,False,75
3,50,-8,140,51,2142,5448,13730,11730,False,False,False,False,False,False,False,81
3,51,-4,140,52,2159,5450,13753,11750,False,False,False,False,False,False,False,87
3,52,-11,140,50,2167,5465,13791,11804,False,True,False,False,False,False,False,92
3,53,-2,140,51,2174,5472,13826,11842,False,False,False,False,False,False,False,98
3,54,-5,140,49,2183,5485,13863,11863,False,True,False,False,False,False,False,100
3,55,-2,141,51,2194,5490,13914,11899,False,False,False,False,False,False,False,100
3,56,-10,141,49,2208,5495,13929,11957,False,True,False,False,False,False,False,100
3,57,-2,141,50,2220,5504,13985,11979,False,True,False,False,False,False,False,100
3,58,-12,141,52,2233,5519,14009,11997,False,False,False,False,False,False,False,100
3,59,0,141,51,2243,5522,14040,12058,False,False,False,False,False,False,False,100
3,60,-10,142,52,2254,5539,14082,12083,False,False,False,False,False,False,False,100
4,1,-5,130,49,1300,5000,12000,1000,True,True,True,True,True,True,True,0
4,2,-6,130,49,1617,5013,12045,10038,True,True,True,True,True,True,True,0
4,3,-12,130,48,1623,5025,12081,10093,True,True,True,True,True,True,True,0
4,4,-6,130,48,1642,5032,12122,10125,True,True,True,True,True,True,True,0
4,5,-9,131,48,1645,5037,12152,10166,True,True,True,True,True,True,True,0
4,6,-14,131,50,1660,5053,12184,10189,True,True,True,True,True,True,True,0
4,7,-15,131,49,1674,5056,12234,10239,True,True,True,True,True,True,True,0
4,8,-15,131,48,1681,5071,12265,10270,True,True,True,True,True,True,True,0
4,9,-5,131,49,1691,5072,12291,10301,True,True,True,True,True,True,True,0
4,10,-5,132,49,1709,5084,12348,10319,True,True,True,True,True,True,True,0
4,11,-10,132,48,1714,5097,12375,10367,True,True,True,True,True,True,True,0
4,12,-6,132,50,1730,5100,12388,10398,True,True,True,True,True,True,True,0
4,13,-13,132,49,1738,5114,12454,10420,True,True,True,True,True,True,True,0
4,14,-6,132,49,1743,5122,12471,10466,True,True,True,True,True,True,True,0
4,15,-11,133,49,1757,5130,12505,10517,True,True,False,True,True,True,False,1
4,16,-15,133,48,1774,5143,12529,10549,True,True,False,True,True,True,False,2
4,17,-6,133,49,1777,5148,12560,10589,True,True,False,True,True,True,False,3
4,18,-12,133,50,1790,5160,12607,10625,True,True,False,True,True,True,False,4
4,19,-7,133,50,1802,5169,12657,10642,True,True,False,True,True,True,False,5
4,20,-11,134,49,1812,5172,12667,10683,True,True,False,True,True,True,False,6
4,21,-11,134,49,1828,5182,12732,10722,True,True,False,True,True,True,False,7
4,22,-15,134,49,1841,5197,12747,10741,True,True,False,True,True,True,False,8
