engine,month,air_temp,noise,epr,egt,ff,n1,n2,noise_n,epr_n,egt_n,ff_n,n1_n,n2_n,normal,failure_prob
1,1,-2,130,50,1300,5000,12000,1000,True,True,True,True,True,True,True,0
1,2,-3,130,50,1612,5013,12039,10049,True,True,True,True,True,True,True,0
1,3,-15,130,48,1622,5023,12102,10086,True,True,True,True,True,True,True,0
1,4,-5,130,50,1635,5033,12135,10134,True,True,True,True,True,True,True,0
1,5,-10,131,49,1648,5038,12140,10144,True,True,True,True,True,True,True,0
1,6,-9,131,48,1655,5049,12180,10198,True,True,True,True,True,True,True,0
1,7,-13,131,50,1674,5054,12230,10244,True,True,True,True,True,True,True,0
1,8,-15,131,49,1677,5065,12268,10276,True,True,True,True,True,True,True,0
1,9,0,131,50,1689,5073,12303,10306,True,True,True,True,True,True,True,0
1,10,-2,132,50,1700,5082,12329,10326,True,True,True,True,True,True,True,0
1,11,-10,132,49,1713,5093,12353,10374,True,True,True,True,True,True,True,0
1,12,-5,132,49,1723,5104,12406,10406,True,True,True,True,True,True,True,0
1,13,-9,132,49,1741,5115,12422,10435,True,True,True,True,True,True,True,0
1,14,-14,132,49,1752,5125,12476,10458,True,True,False,True,True,True,False,3
1,15,-2,133,48,1762,5127,12507,10521,True,True,False,True,True,True,False,6
1,16,-5,133,50,1773,5142,12553,10532,True,True,False,True,True,True,False,9
1,17,0,133,48,1776,5152,12571,10563,True,True,False,True,True,True,False,12
1,18,-14,133,48,1796,5155,12595,10618,True,True,False,True,True,True,False,15
1,19,-13,133,48,1805,5166,12647,10653,True,True,False,True,True,True,False,18
1,20,-15,134,50,1811,5174,12699,10666,True,True,False,True,True,True,False,21
1,21,-11,134,49,1824,5182,12721,10731,True,True,False,True,True,True,False,24
1,22,-1,134,48,1833,5196,12743,10748,True,True,False,True,True,True,False,27
1,23,-6,134,50,1852,5199,12781,10772,True,True,False,True,True,True,False,30
1,24,-14,134,50,1863,5214,12815,10810,True,True,False,True,True,True,False,33
1,25,-14,135,48,1873,5221,12874,10843,True,True,False,True,True,True,False,36
1,26,-7,135,50,1884,5226,12888,10906,True,True,False,True,True,True,False,39
1,27,-12,135,50,1886,5236,12944,10922,True,True,False,True,True,True,False,42
1,28,-12,135,49,1903,5250,12969,10946,True,True,False,True,True,True,False,45
1,29,0,135,49,1908,5256,13005,10986,True,True,False,True,True,True,False,48
1,30,-15,136,49,1929,5269,13023,11046,True,True,False,True,True,True,False,51
1,31,-11,136,48,1930,5278,13078,11060,True,True,False,True,True,True,False,54
1,32,-2,136,49,1950,5280,13090,11100,True,True,False,True,True,True,False,57
1,33,-7,136,49,1956,5296,13138,11121,True,True,False,True,True,True,False,60
1,34,-5,136,50,1971,5300,13175,11181,True,True,False,True,True,True,False,63
1,35,-12,137,50,1980,5308,13193,11224,True,True,False,True,True,True,False,66
1,36,-6,137,49,1994,5320,13239,11246,True,True,False,True,True,True,False,69
1,37,-1,137,51,2002,5324,13291,11262,True,True,False,True,True,True,False,72
1,38,-12,137,50,2011,5337,13320,11303,True,True,False,True,True,True,False,75
1,39,-15,137,49,2022,5350,13336,11337,True,True,False,True,True,True,False,78
1,40,-11,138,51,2039,5353,13368,11386,True,True,False,True,True,True,False,81
1,41,-6,138,51,2047,5364,13406,11410,True,True,False,True,True,True,False,84
1,42,-11,138,51,2055,5369,13463,11444,True,True,False,True,True,True,False,87
1,43,-14,138,51,2066,5379,13488,11471,True,True,False,True,True,True,False,90
1,44,-3,138,50,2077,5388,13506,11532,True,True,False,True,True,True,False,93
1,45,-7,139,50,2088,5398,13572,11567,True,True,False,True,True,True,False,96
1,46,-6,139,50,2095,5410,13576,11598,True,True,False,True,True,True,False,99
1,47,-15,139,50,2109,5415,13642,11629,True,True,False,True,True,True,False,100
1,48,-11,139,49,2123,5424,13650,11667,True,True,False,True,True,True,False,100
1,49,-2,139,49,2138,5440,13710,11709,True,True,False,True,True,True,False,100
1,50,-14,140,49,2139,5446,13739,11741,True,True,False,True,True,True,False,100
1,51,-10,140,51,2157,5457,13751,11779,True,True,False,True,True,True,False,100
1,52,0,140,50,2162,5467,13816,11807,True,True,False,True,True,True,False,100
1,53,-9,140,51,2179,5471,13829,11852,True,True,False,True,True,True,False,100
1,54,-10,140,49,2189,5483,13877,11882,True,True,False,True,True,True,False,100
1,55,-1,141,52,2194,5487,13904,11913,True,True,False,True,True,True,False,100
1,56,-1,141,51,2212,5501,13925,11946,True,True,False,True,True,True,False,100
1,57,-1,141,50,2225,5504,13976,11974,True,True,False,True,True,True,False,100
1,58,-12,141,51,2229,5519,14017,12019,True,True,False,True,True,True,False,100
1,59,-14,141,50,2240,5524,14030,12058,True,True,False,True,True,True,False,100
1,60,0,142,50,2252,5539,14078,12092,True,True,False,True,True,True,False,100
