engine,month,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,failure_prob
1,1,130,1300,5000,12000,10000,0,0,0,0,0,0
1,2,130.57,1342,5040,12104,10104,0,0,0,0,0,0
1,3,131.1,1384,5078,12206,10207,0,0,0,0,0,0
1,4,131.32,1427,5118,12305,10312,0,0,0,0,0,0
1,5,131.79,1467,5157,12408,10415,0,0,0,0,0,0
1,6,132.42,1511,5194,12509,10518,0,0,0,0,0,0
1,7,132.57,1555,5231,12613,10622,0,0,0,0,0,0
1,8,133.29,1599,5272,12713,10724,0,0,0,0,0,0
1,9,133.55,1639,5311,12818,10826,0,0,0,0,0,0
1,10,134.15,1683,5352,12923,10930,0,0,0,0,0,0
1,11,134.83,1724,5393,13024,11032,0,0,0,0,0,0
1,12,135.01,1766,5432,13123,11136,0,0,0,0,0,0
1,13,135.45,1810,5469,13226,11239,0,0,0,0,0,0
1,14,135.63,1853,5507,13327,11344,0,0,1.4,0,0,0
1,15,135.81,1895,5544,13432,11447,0,0,8.8,0,0,1
1,16,136.02,1935,5582,13534,11549,0,5.833333333333333,16.4,0,0,4
1,17,136.39,1979,5622,13636,11652,0,13.166666666666666,24.4,0,0,7
1,18,136.81,2019,5663,13739,11756,0,19.833333333333332,32.6,0,0,10
1,19,137.09,2062,5704,13839,11860,1.5000000000000568,27.0,40.8,0,0,13
1,20,137.74,2103,5745,13939,11963,12.333333333333485,33.833333333333336,49.0,0,0,19
1,21,138.53,2145,5782,14042,12065,25.50000000000002,40.833333333333336,56.4,2.1,3.25,25
1,22,138.75,2187,5822,14142,12169,29.166666666666668,47.833333333333336,64.4,7.1,8.45,31
1,23,139.27,2229,5861,14243,12272,37.833333333333506,54.833333333333336,72.2,12.15,13.6,38
1,24,139.44,2270,5900,14344,12375,40.66666666666663,61.666666666666664,80.0,17.2,18.75,43
1,25,139.87,2310,5941,14444,12480,47.833333333333414,68.33333333333333,88.2,22.2,24.0,50
1,26,140.24,2350,5980,14545,12585,54.000000000000156,75.0,96.0,27.25,29.25,56
1,27,140.95,2394,6021,14645,12688,65.83333333333314,82.33333333333333,100,32.25,34.4,62
1,28,141.21,2434,6058,14750,12792,70.1666666666668,89.0,100,37.5,39.6,67
1,29,141.83,2475,6096,14854,12897,80.50000000000021,95.83333333333333,100,42.7,44.85,72
1,30,142.56,2518,6136,14955,13001,92.66666666666671,100,100,47.75,50.05,78
1,31,142.78,2559,6173,15055,13105,96.33333333333336,100,100,52.75,55.25,80
1,32,143.01,2601,6212,15160,13207,100,100,100,58.0,60.35,83
1,33,143.71,2645,6250,15265,13310,100,100,100,63.25,65.5,85
1,34,144.44,2686,6290,15370,13414,100,100,100,68.5,70.7,87
1,35,145.16,2727,6329,15469,13519,100,100,100,73.45,75.95,89
1,36,145.59,2769,6368,15572,13623,100,100,100,78.6,81.15,91
1,37,146.07,2811,6409,15676,13726,100,100,100,83.8,86.3,94
1,38,146.4,2854,6450,15777,13830,100,100,100,88.85,91.5,96
1,39,146.69,2898,6491,15876,13935,100,100,100,93.8,96.75,98
1,40,147.13,2942,6528,15975,14039,100,100,100,98.75,100,99
1,41,147.9,2986,6569,16077,14144,100,100,100,100,100,100
1,42,148.23,3028,6609,16180,14248,100,100,100,100,100,100
1,43,148.51,3071,6649,16284,14353,100,100,100,100,100,100
