engine,month,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,failure_prob
1,1,130,1300,5000,12000,10000,0,0,0,0,0,0.0
1,2,130.24,1321,5016,12067,10068,0,0,0,0,0,0.0
1,3,130.47,1342,5034,12141,10131,0,0,0,0,0,0.0
1,4,130.7,1363,5052,12215,10202,0,0,0,0,0,0.0
1,5,130.91,1386,5070,12284,10273,0,0,0,0,0,0.0
1,6,131.11,1405,5088,12357,10346,0,0,0,0,0,0.0
1,7,131.36,1425,5104,12426,10408,0,0,0,0,0,0.0
1,8,131.57,1445,5122,12488,10481,0,0,0,0,0,0.0
1,9,131.82,1463,5140,12558,10552,0,0,0,0,0,0.0
1,10,132.06,1483,5157,12622,10617,0,0,0,0,0,0.0
1,11,132.28,1502,5176,12687,10687,0,0,0,0,0,0.0
1,12,132.51,1522,5195,12753,10757,0,0,0,0,0,0.0
1,13,132.74,1541,5212,12825,10819,0,0,0,0,0,0.0
1,14,132.98,1562,5231,12898,10883,0,0,0,0,0,0.0
1,15,133.21,1583,5249,12964,10951,0,0,0,0,0,0.0
1,16,133.46,1601,5266,13030,11024,0,0,0,0,0,0.0
1,17,133.67,1623,5283,13104,11094,0,0,0,0,0,0.0
1,18,133.9,1643,5302,13176,11158,0,0,0,0,0,0.0
1,19,134.14,1664,5319,13245,11222,0,0,0,0,0,0.0
1,20,134.35,1683,5335,13309,11284,0,0,0,0,0,0.0
1,21,134.59,1701,5351,13375,11355,0,0,0,0,0,0.0
1,22,134.8,1721,5369,13439,11429,0,0,0,0,0,0.0
1,23,135.0,1740,5385,13511,11494,0,0,0,0,0,0.0
1,24,135.2,1758,5404,13580,11560,0,0,0,0,0,0.0
1,25,135.45,1778,5420,13643,11634,0,0,0,0,0,0.0
1,26,135.69,1797,5437,13710,11698,0,0,0,0,0,0.0
1,27,135.92,1816,5454,13779,11767,0,0,0,0,0,0.0
1,28,136.16,1836,5471,13845,11841,0,0,0,0,0,0.0
1,29,136.39,1854,5488,13918,11907,0,0,0,0,0,0.0
1,30,136.64,1876,5506,13982,11969,0,0,1.2,0,0,0.24
1,31,136.87,1894,5524,14050,12040,0,0,4.8,2.5,2.0,1.86
1,32,137.09,1916,5543,14122,12111,1.5000000000000568,2.6666666666666665,8.6,6.1,5.55,4.88
1,33,137.31,1936,5559,14185,12181,5.166666666666705,6.0,11.8,9.25,9.05,8.25
1,34,137.54,1959,5575,14250,12255,8.999999999999869,9.833333333333334,15.0,12.5,12.75,11.82
1,35,137.75,1978,5593,14324,12319,12.5,13.0,18.6,16.2,15.95,15.25
1,36,137.97,1999,5611,14395,12381,16.16666666666665,16.5,22.2,19.75,19.05,18.73
1,37,138.2,2022,5630,14458,12448,19.99999999999981,20.333333333333332,26.0,22.9,22.4,22.33
1,38,138.41,2043,5648,14531,12520,23.499999999999943,23.833333333333332,29.6,26.55,26.0,25.9
1,39,138.62,2062,5666,14603,12588,27.000000000000078,27.0,33.2,30.15,29.4,29.35
1,40,138.85,2083,5682,14666,12656,30.83333333333324,30.5,36.4,33.3,32.8,32.77
1,41,139.06,2101,5701,14734,12730,34.33333333333337,33.5,40.2,36.7,36.5,36.25
1,42,139.29,2122,5720,14808,12802,38.166666666666536,37.0,44.0,40.4,40.1,39.93
1,43,139.52,2140,5739,14875,12865,42.00000000000017,40.0,47.8,43.75,43.25,43.36
1,44,139.74,2163,5755,14949,12928,45.66666666666682,43.833333333333336,51.0,47.45,46.4,46.87
1,45,139.97,2184,5772,15017,13000,49.499999999999986,47.333333333333336,54.4,50.85,50.0,50.42
1,46,140.18,2205,5788,15082,13067,53.000000000000114,50.833333333333336,57.6,54.1,53.35,53.78
1,47,140.42,2228,5807,15156,13136,56.999999999999794,54.666666666666664,61.4,57.8,56.8,57.53
1,48,140.65,2249,5824,15227,13201,60.83333333333343,58.166666666666664,64.8,61.35,60.05,61.04
1,49,140.87,2268,5841,15299,13273,64.50000000000009,61.333333333333336,68.2,64.95,63.65,64.53
1,50,141.08,2291,5860,15371,13344,68.00000000000021,65.16666666666667,72.0,68.55,67.2,68.18
1,51,141.32,2309,5879,15440,13413,71.99999999999989,68.16666666666667,75.8,72.0,70.65,71.72
1,52,141.54,2330,5897,15505,13486,75.66666666666654,71.66666666666667,79.4,75.25,74.3,75.26
1,53,141.75,2352,5916,15573,13549,79.16666666666667,75.33333333333333,83.2,78.65,77.45,78.76
1,54,141.98,2374,5933,15635,13618,82.99999999999983,79.0,86.6,81.75,80.9,82.25
1,55,142.23,2393,5949,15708,13691,87.1666666666665,82.16666666666667,89.8,85.4,84.55,85.82
1,56,142.47,2416,5968,15774,13763,91.16666666666666,86.0,93.6,88.7,88.15,89.52
1,57,142.68,2439,5985,15837,13835,94.66666666666679,89.83333333333333,97.0,91.85,91.75,93.02
1,58,142.91,2460,6004,15899,13902,98.49999999999994,93.33333333333333,100,94.95,95.1,96.38
1,59,143.15,2482,6023,15963,13975,100,97.0,100,98.15,98.75,98.78
1,60,143.37,2502,6042,16037,14041,100,100,100,100,100,100.0
