engine,month,air_temp,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,failure_prob
1,1,-8,131,1936,5057,13891,11485,0,6.0,0,0,0,1
1,2,-3,131.22,1977,5098,13995,11588,0,12.833333333333334,0,0,0,2
1,3,-7,131.44,2019,5138,14095,11692,0,19.833333333333332,0,4.75,0,4
1,4,-7,132.03,2060,5177,14199,11794,0,26.666666666666668,0,9.95,0,7
1,5,-6,132.75,2102,5214,14298,11896,0,33.666666666666664,0,14.9,0,9
1,6,-5,133.01,2143,5255,14400,11999,0,40.5,0,20.0,0,12
1,7,-6,133.26,2184,5295,14504,12104,0,47.333333333333336,0,25.2,5.2,15
1,8,-15,133.63,2225,5334,14608,12206,0,54.166666666666664,0,30.4,10.3,18
1,9,-10,133.92,2266,5375,14711,12308,0,61.0,0,35.55,15.4,22
1,10,-8,134.67,2308,5416,14810,12413,0,68.0,0,40.5,20.65,25
1,11,-9,134.99,2350,5455,14910,12516,0,75.0,0,45.5,25.8,29
1,12,-14,135.45,2392,5496,15014,12618,0,82.0,0,50.7,30.9,32
1,13,-10,136.16,2435,5536,15118,12720,0,89.16666666666667,7.2,55.9,36.0,37
1,14,-14,136.7,2479,5576,15218,12825,0,96.5,15.2,60.9,41.25,42
1,15,-2,137.41,2522,5616,15322,12930,6.833333333333277,100,23.2,66.1,46.5,48
1,16,0,137.94,2566,5655,15423,13035,15.666666666666629,100,31.0,71.15,51.75,53
1,17,-14,138.48,2609,5695,15523,13137,24.666666666666497,100,39.0,76.15,56.85,59
1,18,-10,139.03,2650,5736,15628,13241,33.83333333333336,100,47.2,81.4,62.05,64
1,19,-15,139.39,2692,5774,15730,13343,39.83333333333311,100,54.8,86.5,67.15,69
1,20,-7,139.84,2734,5811,15835,13448,47.33333333333339,100,62.2,91.75,72.4,74
1,21,-11,140.48,2776,5852,15938,13551,57.99999999999983,100,70.4,96.9,77.55,80
1,22,-6,141.08,2819,5891,16043,13654,68.00000000000021,100,78.2,100,82.7,85
1,23,-6,141.28,2860,5928,16147,13758,71.33333333333336,100,85.6,100,87.9,88
1,24,-1,142.07,2903,5966,16249,13863,84.49999999999989,100,93.2,100,93.15,94
1,25,-11,142.86,2946,6007,16352,13967,97.6666666666669,100,100,100,98.35,99
1,26,-4,143.1,2988,6048,16455,14069,100,100,100,100,100,100
1,27,-3,143.58,3031,6085,16555,14174,100,100,100,100,100,100
1,28,-8,143.91,3074,6126,16656,14279,100,100,100,100,100,100
1,29,0,144.24,3115,6166,16760,14384,100,100,100,100,100,100
1,30,-7,144.93,3157,6207,16863,14487,100,100,100,100,100,100
1,31,-4,145.41,3197,6245,16965,14590,100,100,100,100,100,100
1,32,-1,145.85,3237,6286,17067,14693,100,100,100,100,100,100
1,33,-10,146.54,3279,6323,17168,14796,100,100,100,100,100,100
1,34,-8,146.86,3322,6360,17267,14899,100,100,100,100,100,100
1,35,-8,147.62,3362,6399,17367,15004,100,100,100,100,100,100
1,36,-10,147.86,3405,6438,17469,15109,100,100,100,100,100,100
1,37,-11,148.54,3448,6476,17569,15214,100,100,100,100,100,100
1,38,-15,148.89,3488,6514,17669,15319,100,100,100,100,100,100
1,39,-13,149.61,3531,6554,17774,15424,100,100,100,100,100,100
1,40,-14,150.38,3571,6591,17876,15526,100,100,100,100,100,100
1,41,-8,150.55,3611,6631,17978,15630,100,100,100,100,100,100
1,42,-4,150.82,3651,6672,18081,15735,100,100,100,100,100,100
1,43,-2,151.28,3693,6713,18181,15837,100,100,100,100,100,100
1,44,-13,151.86,3737,6753,18286,15939,100,100,100,100,100,100
1,45,0,152.52,3779,6794,18391,16043,100,100,100,100,100,100
1,46,-2,153.2,3819,6835,18495,16147,100,100,100,100,100,100
1,47,-10,153.85,3859,6873,18594,16250,100,100,100,100,100,100
1,48,-13,154.39,3902,6914,18696,16354,100,100,100,100,100,100
1,49,-13,154.77,3943,6951,18798,16458,100,100,100,100,100,100
1,50,-6,155.16,3985,6991,18903,16562,100,100,100,100,100,100
1,51,-7,155.53,4026,7028,19008,16665,100,100,100,100,100,100
1,52,0,156.16,4067,7067,19112,16767,100,100,100,100,100,100
1,53,0,156.42,4107,7105,19217,16870,100,100,100,100,100,100
1,54,-6,156.99,4150,7142,19319,16975,100,100,100,100,100,100
1,55,-9,157.14,4192,7181,19423,17080,100,100,100,100,100,100
1,56,-4,157.66,4235,7219,19522,17183,100,100,100,100,100,100
1,57,-12,158.36,4276,7256,19626,17286,100,100,100,100,100,100
1,58,-9,158.71,4318,7293,19726,17389,100,100,100,100,100,100
1,59,-12,158.98,4358,7333,19826,17493,100,100,100,100,100,100
1,60,-11,159.44,4400,7371,19926,17598,100,100,100,100,100,100
