engine,month,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,failure_prob
1,1,130,1300,5000,12000,10000,0,0,0,0,0,0
1,2,130.66,1340,5041,12105,10104,0,0,0,0,0,0
1,3,130.82,1383,5082,12210,10206,0,0,0,0,0,0
1,4,131.05,1426,5122,12309,10309,0,0,0,0,0,0
1,5,131.78,1467,5160,12412,10413,0,0,0,0,0,0
1,6,131.96,1511,5199,12517,10515,0,0,0,0,0,0
1,7,132.6,1554,5236,12618,10620,0,0,0,0,0,0
1,8,132.78,1595,5273,12720,10725,0,0,0,0,0,0
1,9,132.97,1638,5311,12824,10827,0,0,0,0,0,0
1,10,133.25,1678,5349,12929,10930,0,0,0,0,0,0
1,11,133.91,1719,5387,13033,11034,0,0,0,0,0,0
1,12,134.71,1759,5426,13134,11136,0,0,0,0,0,0
1,13,135.0,1803,5463,13233,11241,0,0,0,0,0,0
1,14,135.5,1844,5502,13333,11345,0,0,0.4,0,0,0
1,15,135.83,1888,5540,13436,11449,0,0,8.0,0,0,1
1,16,136.45,1930,5581,13536,11554,0,5.0,16.2,0,0,4
1,17,136.7,1971,5622,13638,11657,0,11.833333333333334,24.4,0,0,7
1,18,137.14,2011,5663,13742,11760,2.333333333333106,18.5,32.6,0,0,10
1,19,137.6,2051,5703,13845,11862,9.999999999999906,25.166666666666668,40.6,0,0,15
1,20,138.38,2298,5772,14726,11964,22.999999999999925,66.33333333333333,54.4,36.3,0,36
1,21,138.87,2340,5810,14829,12068,31.166666666666742,73.33333333333333,62.0,41.45,3.4,42
1,22,139.24,2380,5850,14932,12170,37.333333333333485,80.0,70.0,46.6,8.5,48
1,23,139.91,2421,5891,15033,12274,48.49999999999994,86.83333333333333,78.2,51.65,13.7,55
1,24,140.58,2461,5929,15136,12378,59.66666666666688,93.5,85.8,56.8,18.9,62
1,25,141.28,2503,5966,15236,12481,71.33333333333336,100,93.2,61.8,24.05,70
1,26,141.86,2545,6005,15337,12583,81.00000000000023,100,100,66.85,29.15,75
1,27,142.26,2585,6044,15437,12687,87.66666666666652,100,100,71.85,34.35,78
1,28,142.41,2629,6082,15538,12789,90.16666666666661,100,100,76.9,39.45,81
1,29,142.69,2672,6120,15640,12891,94.8333333333333,100,100,82.0,44.55,84
1,30,142.99,2713,6161,15743,12996,99.83333333333348,100,100,87.15,49.8,87
1,31,143.34,2753,6200,15848,13100,100,100,100,92.4,55.0,89
1,32,144.0,2793,6238,15952,13203,100,100,100,97.6,60.15,91
1,33,144.43,2835,6279,16054,13308,100,100,100,100,65.4,93
1,34,145.09,2878,6316,16154,13410,100,100,100,100,70.5,94
1,35,145.7,2921,6353,16259,13515,100,100,100,100,75.75,95
1,36,146.0,2964,6391,16361,13620,100,100,100,100,81.0,96
1,37,146.18,3008,6429,16464,13722,100,100,100,100,86.1,97
1,38,146.85,3048,6469,16565,13827,100,100,100,100,91.35,98
1,39,147.08,3091,6506,16665,13929,100,100,100,100,96.45,99
1,40,147.58,3135,6546,16769,14031,100,100,100,100,100,100
1,41,147.93,3177,6584,16868,14136,100,100,100,100,100,100
1,42,148.57,3217,6622,16970,14240,100,100,100,100,100,100
1,43,148.9,3261,6659,17070,14345,100,100,100,100,100,100
1,44,149.44,3301,6700,17174,14450,100,100,100,100,100,100
1,45,150.07,3345,6738,17278,14555,100,100,100,100,100,100
1,46,150.47,3387,6776,17378,14658,100,100,100,100,100,100
1,47,150.75,3428,6816,17477,14760,100,100,100,100,100,100
1,48,151.44,3471,6857,17578,14863,100,100,100,100,100,100
1,49,151.75,3512,6894,17678,14965,100,100,100,100,100,100
1,50,152.38,3556,6931,17779,15070,100,100,100,100,100,100
1,51,152.78,3596,6968,17882,15173,100,100,100,100,100,100
1,52,153.33,3639,7008,17987,15276,100,100,100,100,100,100
1,53,153.74,3681,7045,18092,15380,100,100,100,100,100,100
1,54,154.41,3723,7082,18196,15483,100,100,100,100,100,100
1,55,155.15,3767,7121,18298,15585,100,100,100,100,100,100
1,56,155.62,3807,7160,18403,15689,100,100,100,100,100,100
1,57,156.02,3850,7199,18506,15794,100,100,100,100,100,100
1,58,156.39,3890,7236,18609,15899,100,100,100,100,100,100
1,59,156.87,3932,7273,18711,16001,100,100,100,100,100,100
1,60,157.35,3973,7310,18816,16104,100,100,100,100,100,100
