engine,month,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,failure_prob
1,1,130.0,1300,5000,12000,10000,0,0,0,0,0,0
1,2,130.36,1340,5038,12102,10104,0,0,0,0,0,0
1,3,130.82,1384,5075,12204,10206,0,0,0,0,0,0
1,4,131.14,1426,5114,12303,10311,0,0,0,0,0,0
1,5,131.71,1469,5152,12402,10416,0,0,0,0,0,0
1,6,131.96,1510,5189,12505,10520,0,0,0,0,0,0
1,7,132.74,1554,5226,12609,10625,0,0,0,0,0,0
1,8,132.95,1596,5266,12710,10728,0,0,0,0,0,0
1,9,133.66,1639,5307,12815,10833,0,0,0,0,0,0
1,10,133.93,1683,5344,12915,10935,0,0,0,0,0,0
1,11,134.21,1726,5381,13018,11039,0,0,0,0,0,0
1,12,134.41,1767,5420,13120,11143,0,0,0,0,0,0
1,13,134.61,1809,5461,13219,11248,0,0,0,0,0,0
1,14,135.31,1853,5498,13324,11350,0,0,1,0,0,0
1,15,135.62,1894,5535,13423,11455,0,0,8,0,0,1
1,16,136.34,1938,5572,13526,11560,3,5,16,0,0,4
1,17,136.84,1982,5609,13629,11664,9,12,24,0,0,8
1,18,137.19,2026,5646,13733,11767,15,19,32,0,0,12
1,19,137.72,2067,5684,13834,11872,23,26,39,0,0,17
1,20,137.88,2108,5724,13936,11975,30,33,47,0,0,21
1,21,138.04,2151,5764,14041,12078,37,40,55,2,3,26
1,22,138.69,2363,5805,14555,13071,45,52,63,13,22,39
1,23,139.08,2407,5846,14660,13176,53,59,71,19,27,46
1,24,139.55,2449,5887,14760,13280,61,66,79,24,33,53
1,25,139.89,2493,5926,14861,13384,68,73,86,29,38,59
1,26,140.08,2536,5967,14961,13487,75,80,94,34,43,66
1,27,140.39,2577,6006,15066,13592,81,87,100,39,48,71
1,28,141.18,2619,6045,15165,13696,87,94,100,44,53,76
1,29,141.57,2661,6084,15268,13799,90,100,100,49,59,80
1,30,142.14,2703,6124,15372,13902,93,100,100,54,64,82
1,31,142.57,2746,6162,15472,14005,94,100,100,59,69,85
1,32,142.96,2787,6199,15573,14110,95,100,100,64,74,87
1,33,143.74,2827,6236,15677,14214,96,100,100,70,79,89
1,34,144.3,2870,6277,15779,14319,96,100,100,75,84,91
1,35,144.85,2914,6318,15880,14421,96,100,100,80,90,93
1,36,145.53,2955,6356,15980,14525,97,100,100,85,95,96
1,37,145.71,2996,6397,16080,14630,96,100,100,90,100,98
1,38,146.23,3037,6434,16181,14735,96,100,100,95,100,98
1,39,146.67,3079,6473,16283,14840,96,100,100,100,100,99
1,40,147.4,3123,6514,16386,14942,97,100,100,100,100,98
1,41,147.57,3166,6553,16487,15046,96,100,100,100,100,99
1,42,148.35,3208,6590,16586,15149,97,100,100,100,100,99
1,43,148.61,3252,6628,16690,15254,96,100,100,100,100,99
1,44,149.13,3294,6669,16795,15357,96,100,100,100,100,99
1,45,149.59,3336,6707,16900,15459,96,100,100,100,100,99
1,46,149.88,3380,6745,17004,15564,96,100,100,100,100,99
1,47,150.4,3424,6786,17105,15667,96,100,100,100,100,99
1,48,150.8,3467,6827,17206,15769,96,100,100,100,100,99
1,49,151.09,3511,6865,17308,15872,95,100,100,100,100,98
1,50,151.87,3552,6902,17409,15974,96,100,100,100,100,99
1,51,152.07,3595,6939,17512,16079,95,100,100,100,100,98
1,52,152.81,3635,6980,17615,16182,96,100,100,100,100,99
1,53,153.58,3678,7020,17720,16287,97,100,100,100,100,99
1,54,153.97,3722,7060,17825,16389,97,100,100,100,100,99
1,55,154.13,3763,7101,17925,16492,96,100,100,100,100,99
1,56,154.57,3805,7142,18028,16595,96,100,100,100,100,99
1,57,155.25,3846,7181,18129,16700,96,100,100,100,100,99
1,58,155.49,3889,7218,18229,16803,95,100,100,100,100,98
1,59,156.25,3932,7255,18331,16905,96,100,100,100,100,99
1,60,156.53,3972,7296,18432,17007,96,100,100,100,100,99
