engine,month,air_temp,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,failure_prob
1,1,-11,130,1300,5000,12000,10000,0,0,0,0,0,0
1,2,-9,130.2,1340,5039,12099,10105,0,0,0,0,0,0
1,3,-4,130.64,1381,5079,12202,10209,0,0,0,0,0,0
1,4,-3,131.21,1421,5120,12301,10312,0,0,0,0,0,0
1,5,-9,131.69,1465,5158,12404,10414,0,0,0,0,0,0
1,6,-13,131.91,1506,5196,12509,10518,0,0,0,0,0,0
1,7,-5,132.52,1550,5235,12614,10621,0,0,0,0,0,0
1,8,-15,133.06,1592,5274,12716,10724,0,0,0,0,0,0
1,9,-4,133.53,1634,5312,12816,10829,0,0,0,0,0,0
1,10,-4,134.02,1678,5352,12918,10934,0,0,0,0,0,0
1,11,-14,134.55,1722,5392,13023,11039,0,0,0,0,0,0
1,12,-14,135.14,1765,5433,13122,11141,0,0,0,0,0,0
1,13,-6,135.77,1807,5472,13221,11246,0,0,0,0,0,0
1,14,-4,136.05,1848,5511,13321,11350,0,0,0,0,0,0
1,15,-2,136.59,1890,5550,13423,11454,0,0,0,0,0,0
1,16,-2,137.08,1932,5588,13523,11559,0,0,0,0,0,0
1,17,-14,137.41,1976,5627,13628,11664,0,0,0,0,0,0
1,18,-8,138.19,2020,5667,13730,11767,0,0,0,0,0,0
1,19,-9,138.68,2060,5706,13833,11870,0,0,0,0,0,0
1,20,-14,139.0,2101,5747,13933,11974,0,0,0,0,0,0
1,21,-7,139.57,2141,5785,14033,12077,0,0,0,0,0,0
1,22,-3,139.87,2182,5825,14136,12181,0,0,0,0,0,0
1,23,-5,140.37,2222,5865,14239,12286,0,0,0,0,0,0
1,24,-6,140.81,2263,5902,14343,12390,0,0,0,0,0,0
1,25,-15,141.49,2304,5943,14443,12493,0,0,0,0,0,0
1,26,-8,141.99,2345,5980,14546,12598,0,0,0,0,0,0
1,27,0,142.57,2386,6018,14648,12703,0,0,0,0,0,0
1,28,-6,142.79,2427,6055,14751,12806,0,0,0,0,0,0
1,29,-10,143.22,2468,6095,14852,12908,0,0,0,0,0,0
1,30,-10,143.54,2511,6132,14954,13011,0,0,0,0,0,0
1,31,0,143.73,2553,6169,15055,13113,0,0,0,0,0,0
1,32,-10,144.13,2593,6207,15157,13217,0,0,0,0,0,0
1,33,-5,144.29,2636,6246,15261,13319,0,0,0,0,0,0
1,34,-13,144.62,2678,6285,15363,13422,0,0,0,0,0,0
1,35,-10,145.0,2720,6325,15465,13526,0,0,0,0,0,0
1,36,-1,145.63,2760,6365,15568,13629,0,0,0,0,0,0
1,37,-11,146.31,2802,6406,15672,13733,0,0,0,0,0,0
1,38,-11,146.55,2843,6447,15776,13838,0,0,0,0,0,0
1,39,-9,146.88,2886,6487,15876,13940,0,0,0,0,0,0
1,40,-2,147.48,2926,6526,15981,14042,0,0,0,0,0,0
1,41,-10,147.98,2968,6566,16084,14145,0,0,0,0,0,0
1,42,-6,148.16,3008,6605,16184,14250,0,0,0,0,0,0
1,43,-14,148.69,3050,6646,16289,14354,0,0,0,0,0,0
1,44,-11,149.27,3093,6683,16392,14458,0,0,0,0,0,0
1,45,-6,149.86,3135,6724,16495,14560,0,0,0,0,0,0
1,46,-6,150.49,3178,6764,16595,14662,0,0,0,0,0,0
1,47,-2,151.0,3219,6801,16700,14766,0,0,0,0,0,0
1,48,-14,151.78,3261,6842,16805,14868,0,0,0,0,0,0
1,49,-12,152.34,3305,6881,16905,14971,0,0,0,0,0,0
1,50,-8,152.58,3345,6922,17009,15073,0,0,0,0,0,0
1,51,-4,153.31,3386,6960,17108,15175,0,0,0,0,0,0
1,52,-3,153.73,3429,7001,17209,15278,0,0,0,0,0,0
1,53,-14,153.91,3472,7041,17310,15383,0,0,0,0,0,0
1,54,-7,154.33,3512,7079,17411,15486,0,0,0,0,0,0
1,55,-6,154.65,3552,7117,17516,15590,0,0,0,0,0,0
1,56,-8,154.98,3596,7157,17621,15692,0,0,0,0,0,0
1,57,-15,155.32,3640,7198,17722,15795,0,0,0,0,0,0
1,58,-12,155.72,3681,7236,17824,15897,0,0,0,0,0,0
1,59,-10,156.25,3721,7273,17929,16002,0,0,0,0,0,0
1,60,-2,156.85,3763,7312,18031,16104,0,0,0,0,0,0
