engine,month,air_temp,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,failure_prob
1,28,-13,141,1964,5561,13835,12442,66.66666666666667,10.666666666666666,12.2,-8.25,91.75,34.60666666666667
2,30,-14,140,2156,5728,13125,11721,50.0,42.666666666666664,45.6,-43.75,56.25,30.15333333333333
3,12,-2,139,2295,5650,14473,12282,33.333333333333336,65.83333333333333,30.0,23.65,123.65,55.29333333333334
4,5,-13,142,2201,5655,13547,12981,83.33333333333334,50.166666666666664,31.0,-22.65,77.35,43.839999999999996
5,18,-7,138,1864,5735,13962,12577,16.666666666666668,-6.0,47.0,-1.9,98.1,30.773333333333333
6,1,-9,139,1726,5697,14404,12203,33.333333333333336,-29.0,39.4,20.2,120.2,36.82666666666667
7,1,-6,141,2129,5724,14474,11522,66.66666666666667,38.166666666666664,44.8,23.7,123.7,59.40666666666666
8,3,-6,141,2168,5696,14688,11419,66.66666666666667,44.666666666666664,39.2,34.4,134.4,63.866666666666674
9,18,-4,140,2229,5522,14410,12191,50.0,54.833333333333336,4.4,20.5,120.5,50.04666666666667
10,18,0,140,2170,5480,13792,12152,50.0,45.0,-4.0,-10.4,89.6,34.04
