engine,month,egt,ff,n1,n2,egt_n,ff_n,n1_n,n2_n,normal,failure_prob
1,1,1152,4961,11272,9211,True,True,True,True,True,0
1,2,1169,5007,11354,9261,True,True,True,True,True,0
1,3,1181,5056,11401,9270,True,True,True,True,True,0
1,4,1186,5073,11662,9272,True,True,True,True,True,0
1,5,1201,5073,11663,9332,True,True,True,True,True,0
1,6,1248,5138,11672,9351,True,True,True,True,True,0
1,7,1269,5155,11716,9356,True,True,True,True,True,0
1,8,1284,5193,11930,9357,True,True,True,True,True,0
1,9,1309,5211,11979,9543,True,True,True,True,True,0
1,10,1345,5230,12012,9597,True,True,True,True,True,0
1,11,1362,5240,12155,9655,True,True,True,True,True,0
1,12,1409,5322,12218,9670,True,True,True,True,True,0
1,13,1409,5330,12221,9670,True,True,True,True,True,0
1,14,1441,5344,12506,9720,True,True,True,True,True,0
1,15,1455,5428,12605,9783,True,True,True,True,True,0
1,16,1487,5428,12791,9786,True,True,True,True,True,0
1,17,1497,5429,12873,9809,True,True,True,True,True,0
1,18,1580,5503,12946,9816,True,False,True,True,False,25
1,19,1635,5520,12951,9828,True,False,True,True,False,25
1,20,1660,5543,13041,9911,True,False,True,True,False,25
1,21,1688,5614,13100,9927,True,False,True,True,False,25
1,22,1688,5665,13204,10040,True,False,True,True,False,25
1,23,1698,5729,13214,10041,True,False,True,True,False,25
1,24,1748,5730,13305,10049,True,False,True,True,False,25
2,1,1231,4959,11876,9583,True,True,True,True,True,0
2,2,1278,4992,11879,9702,True,True,True,True,True,0
2,3,1309,4992,11892,9822,True,True,True,True,True,0
2,4,1337,5008,11901,9930,True,True,True,True,True,0
2,5,1338,5078,11914,9968,True,True,True,True,True,0
2,6,1362,5110,11967,9979,True,True,True,True,True,0
2,7,1369,5114,12006,10191,True,True,True,True,True,0
2,8,1422,5202,12106,10203,True,True,True,True,True,0
2,9,1440,5222,12301,10242,True,True,True,True,True,0
2,10,1514,5269,12346,10385,True,True,True,True,True,0
2,11,1543,5335,12381,10396,True,True,True,True,True,0
2,12,1580,5358,12532,10480,True,True,True,True,True,0
2,13,1587,5369,12541,10488,True,True,True,True,True,0
2,14,1631,5382,12585,10489,True,True,True,True,True,0
2,15,1633,5403,12607,10588,True,True,True,True,True,0
2,16,1685,5479,12630,10618,True,True,True,True,True,0
2,17,1686,5484,12878,10734,True,True,True,True,True,0
2,18,1689,5540,12948,10858,True,False,True,True,False,25
2,19,1739,5552,13091,10870,True,False,True,True,False,25
2,20,1786,5593,13174,10954,True,False,True,True,False,25
2,21,1788,5606,13379,10981,True,False,True,True,False,25
2,22,1793,5636,13518,11021,True,False,True,True,False,25
2,23,1803,5696,13522,11303,True,False,True,True,False,25
2,24,1822,5783,13616,11482,True,False,True,True,False,25
3,1,1130,4803,12340,10316,True,True,True,True,True,0
3,2,1132,4804,12526,10346,True,True,True,True,True,0
3,3,1165,4846,12556,10425,True,True,True,True,True,0
3,4,1204,4851,12609,10441,True,True,True,True,True,0
3,5,1224,4913,12764,10462,True,True,True,True,True,0
3,6,1245,4974,12790,10565,True,True,True,True,True,0
3,7,1247,4980,12887,10571,True,True,True,True,True,0
3,8,1255,4980,12891,10581,True,True,True,True,True,0
3,9,1268,4984,12956,10643,True,True,True,True,True,0
3,10,1279,4990,12976,10658,True,True,True,True,True,0
3,11,1281,5032,13016,10744,True,True,True,True,True,0
3,12,1284,5105,13023,10749,True,True,True,True,True,0
3,13,1301,5108,13101,10834,True,True,True,True,True,0
3,14,1352,5118,13185,10845,True,True,True,True,True,0
3,15,1375,5153,13186,10920,True,True,True,True,True,0
3,16,1380,5153,13394,10949,True,True,True,True,True,0
3,17,1380,5154,13410,10952,True,True,True,True,True,0
3,18,1397,5163,13440,11085,True,True,True,True,True,0
3,19,1418,5176,13465,11126,True,True,True,True,True,0
3,20,1422,5195,13475,11179,True,True,True,True,True,0
3,21,1488,5217,13626,11196,True,True,True,True,True,0
3,22,1524,5267,13752,11261,True,True,True,True,True,0
3,23,1525,5270,13894,11363,True,True,True,True,True,0
3,24,1560,5270,14071,11388,True,True,False,True,False,25
4,1,1233,4899,12117,9283,True,True,True,True,True,0
4,2,1249,4900,12134,9314,True,True,True,True,True,0
4,3,1256,4976,12189,9321,True,True,True,True,True,0
4,4,1282,4991,12439,9339,True,True,True,True,True,0
4,5,1292,5007,12465,9442,True,True,True,True,True,0
4,6,1337,5015,12475,9542,True,True,True,True,True,0
4,7,1346,5024,12486,9587,True,True,True,True,True,0
4,8,1385,5029,12585,9596,True,True,True,True,True,0
4,9,1407,5030,12674,9729,True,True,True,True,True,0
4,10,1430,5052,12702,9729,True,True,True,True,True,0
4,11,1489,5095,12817,9743,True,True,True,True,True,0
4,12,1507,5097,12931,9761,True,True,True,True,True,0
4,13,1520,5142,12940,9769,True,True,True,True,True,0
4,14,1544,5142,12972,9943,True,True,True,True,True,0
4,15,1547,5187,13029,10057,True,True,True,True,True,0
4,16,1578,5202,13038,10069,True,True,True,True,True,0
4,17,1584,5223,13293,10087,True,True,True,True,True,0
4,18,1597,5230,13377,10090,True,True,True,True,True,0
4,19,1604,5239,13625,10174,True,True,True,True,True,0
4,20,1607,5239,13665,10262,True,True,True,True,True,0
4,21,1607,5284,13709,10284,True,True,True,True,True,0
4,22,1641,5300,13864,10341,True,True,True,True,True,0
4,23,1657,5319,13950,10446,True,True,True,True,True,0
4,24,1703,5333,13983,10471,True,True,True,True,True,0
5,1,1232,4891,11003,10581,True,True,True,True,True,0
5,2,1237,4920,11236,10727,True,True,True,True,True,0
5,3,1244,4926,11264,10731,True,True,True,True,True,0
5,4,1250,4959,11279,10862,True,True,True,True,True,0
5,5,1334,4986,11390,10996,True,True,True,True,True,0
5,6,1356,4990,11390,11013,True,True,True,True,True,0
5,7,1438,5009,11503,11138,True,True,True,True,True,0
5,8,1443,5069,11575,11288,True,True,True,True,True,0
5,9,1465,5121,11667,11362,True,True,True,True,True,0
5,10,1494,5129,11723,11518,True,True,True,True,True,0
5,11,1525,5159,11815,11540,True,True,True,True,True,0
5,12,1567,5161,11863,11555,True,True,True,True,True,0
5,13,1599,5189,12143,11678,True,True,True,True,True,0
5,14,1624,5192,12221,11747,True,True,True,True,True,0
5,15,1624,5242,12397,11765,True,True,True,True,True,0
5,16,1688,5253,12552,11837,True,True,True,True,True,0
5,17,1689,5258,12599,11869,True,True,True,True,True,0
5,18,1734,5292,12689,11910,True,True,True,True,True,0
5,19,1738,5301,12702,12074,True,True,True,False,False,25
5,20,1828,5349,12752,12148,True,True,True,False,False,25
5,21,1839,5355,12833,12214,True,True,True,False,False,25
5,22,1863,5374,12909,12319,True,True,True,False,False,25
5,23,1878,5378,13011,12326,True,True,True,False,False,25
5,24,1946,5412,13042,12425,False,True,True,False,False,50
6,1,1146,4897,12469,10360,True,True,True,True,True,0
6,2,1162,4910,12481,10414,True,True,True,True,True,0
6,3,1177,4938,12482,10662,True,True,True,True,True,0
6,4,1218,4976,12508,10690,True,True,True,True,True,0
6,5,1251,5033,12551,10787,True,True,True,True,True,0
6,6,1265,5112,12743,10819,True,True,True,True,True,0
6,7,1312,5119,12757,10835,True,True,True,True,True,0
6,8,1317,5127,12819,10839,True,True,True,True,True,0
6,9,1320,5129,12903,10996,True,True,True,True,True,0
6,10,1371,5134,12985,11138,True,True,True,True,True,0
6,11,1391,5135,13053,11266,True,True,True,True,True,0
6,12,1446,5144,13069,11421,True,True,True,True,True,0
6,13,1471,5152,13156,11467,True,True,True,True,True,0
6,14,1539,5180,13159,11610,True,True,True,True,True,0
6,15,1558,5180,13159,11614,True,True,True,True,True,0
6,16,1558,5243,13178,11702,True,True,True,True,True,0
6,17,1605,5270,13325,11723,True,True,True,True,True,0
6,18,1606,5311,13550,11749,True,True,True,True,True,0
6,19,1630,5364,13627,11853,True,True,True,True,True,0
6,20,1671,5374,13646,11902,True,True,True,True,True,0
6,21,1705,5392,13809,12142,True,True,True,False,False,25
6,22,1722,5410,13927,12410,True,True,True,False,False,25
6,23,1727,5427,14003,12464,True,True,False,False,False,50
6,24,1742,5470,14049,12495,True,True,False,False,False,50
7,1,1185,4957,12074,10044,True,True,True,True,True,0
7,2,1186,5010,12111,10186,True,True,True,True,True,0
7,3,1187,5069,12171,10189,True,True,True,True,True,0
7,4,1211,5074,12236,10345,True,True,True,True,True,0
7,5,1270,5090,12240,10438,True,True,True,True,True,0
7,6,1301,5132,12294,10449,True,True,True,True,True,0
7,7,1334,5155,12373,10484,True,True,True,True,True,0
