engine,month,air_temp,noise,epr,egt,ff,n1,n2,noise_n,epr_n,egt_n,ff_n,n1_n,n2_n,normal,failure_prob
1,1,-13,120,50,1120,5012,12146,10636,True,True,True,True,True,True,True,0
1,2,-8,120,50,1221,5104,12182,10682,True,True,True,True,True,True,True,0
1,3,-3,121,49,1308,5181,12291,10705,True,True,True,True,True,True,True,0
1,4,-15,121,49,1392,5340,12309,10774,True,True,True,True,True,True,True,0
1,5,-6,121,50,1434,5415,12399,10995,True,True,True,True,True,True,True,0
1,6,-14,122,50,1617,5422,12471,11083,True,True,True,True,True,True,True,0
1,7,-15,122,50,1742,5476,12548,11209,True,True,True,True,True,True,True,0
1,8,-15,122,48,1900,5483,12608,11245,True,True,True,True,True,True,True,0
1,9,-14,122,49,1990,5568,12777,11335,True,True,False,False,True,True,False,36
1,10,-13,122,49,2056,5621,12784,11447,True,True,False,False,True,True,False,36
1,11,-5,122,48,2166,5680,12869,11729,True,True,False,False,True,True,False,36
1,12,-2,123,48,2249,5740,13033,11735,True,True,False,False,True,True,False,36
1,13,-7,123,48,2307,5820,13115,11751,True,True,False,False,True,True,False,36
1,14,-5,124,49,2379,5913,13125,11837,True,True,False,False,True,True,False,36
1,15,-7,124,48,2504,6011,13199,11963,True,True,False,False,True,True,False,36
1,16,-10,124,49,2606,6042,13205,12131,True,True,False,False,True,False,False,54
1,17,-5,124,50,2643,6064,13274,12230,True,True,False,False,True,False,False,54
1,18,-5,124,51,2688,6081,13364,12419,True,False,False,False,True,False,False,64
1,19,-13,125,48,2751,6101,13471,12519,True,True,False,False,True,False,False,54
1,20,-9,125,52,2773,6114,13473,12547,True,False,False,False,True,False,False,64
1,21,-7,125,52,2852,6139,13496,12741,True,False,False,False,True,False,False,64
1,22,-15,125,50,2920,6163,13537,12785,True,True,False,False,True,False,False,54
1,23,-9,126,53,2952,6240,13643,12920,True,False,False,False,True,False,False,64
1,24,-11,126,50,2960,6366,13800,13209,True,True,False,False,True,False,False,54
2,1,-3,120,49,1367,5074,11923,11036,True,True,True,True,True,True,True,0
2,2,-5,120,50,1385,5147,12127,11074,True,True,True,True,True,True,True,0
2,3,-15,120,50,1497,5195,12320,11210,True,True,True,True,True,True,True,0
2,4,-9,121,48,1641,5298,12483,11256,True,True,True,True,True,True,True,0
2,5,-2,121,49,1719,5301,12592,11318,True,True,True,True,True,True,True,0
2,6,0,121,49,1756,5377,12652,11369,True,True,True,True,True,True,True,0
2,7,-10,121,49,1923,5464,12733,11644,True,True,False,True,True,True,False,18
2,8,-11,121,48,2034,5541,12797,11843,True,True,False,False,True,True,False,36
2,9,-2,122,49,2053,5541,12956,12024,True,True,False,False,True,False,False,54
2,10,-6,122,48,2142,5618,13032,12133,True,True,False,False,True,False,False,54
2,11,-14,122,49,2180,5755,13050,12269,True,True,False,False,True,False,False,54
2,12,-2,122,50,2219,5828,13187,12369,True,True,False,False,True,False,False,54
2,13,-14,123,48,2321,5969,13297,12566,True,True,False,False,True,False,False,54
2,14,-11,123,50,2394,6027,13325,12895,True,True,False,False,True,False,False,54
2,15,-1,123,49,2464,6112,13439,12958,True,True,False,False,True,False,False,54
2,16,-15,123,50,2572,6238,13681,13037,True,True,False,False,True,False,False,54
2,17,-1,123,48,2640,6319,13768,13161,True,True,False,False,True,False,False,54
2,18,-6,123,49,2723,6362,13954,13180,True,True,False,False,True,False,False,54
2,19,-10,124,48,2749,6444,14096,13206,True,True,False,False,False,False,False,72
2,20,-3,124,49,2853,6532,14279,13209,True,True,False,False,False,False,False,72
2,21,-14,125,51,2985,6670,14330,13314,True,False,False,False,False,False,False,82
2,22,-4,125,53,2991,6744,14632,13467,True,False,False,False,False,False,False,82
2,23,-8,125,52,3094,6804,14657,13527,True,False,False,False,False,False,False,82
2,24,-1,125,49,3145,6845,14765,13728,True,True,False,False,False,False,False,72
3,1,-13,121,50,1190,4960,12200,9613,True,True,True,True,True,True,True,0
3,2,-14,121,49,1246,5069,12238,9666,True,True,True,True,True,True,True,0
