engine,month,air_temp,noise,epr,egt,ff,n1,n2,noise_n,epr_n,egt_n,ff_n,n1_n,n2_n,normal,failure_prob
1,1,-11,130,50,1300,5000,12000,1000,True,True,True,True,True,True,True,0
1,2,0,130,50,1515,5211,13047,11049,True,True,True,True,True,True,True,0
1,3,-10,130,50,1531,5219,13074,11070,True,True,True,True,True,True,True,0
1,4,-7,130,50,1543,5230,13111,11127,True,True,True,True,True,True,True,0
1,5,-4,131,49,1544,5240,13141,11156,True,True,True,True,True,True,True,0
1,6,-1,131,48,1562,5248,13196,11199,True,True,True,True,True,True,True,0
1,7,-7,131,50,1567,5259,13238,11242,True,True,True,True,True,True,True,0
1,8,-3,131,50,1587,5271,13253,11264,True,True,True,True,True,True,True,0
1,9,-5,131,50,1594,5272,13289,11312,True,True,True,True,True,True,True,0
1,10,-4,132,49,1600,5288,13341,11326,True,True,True,True,True,True,True,0
1,11,-3,132,49,1612,5293,13367,11351,True,True,True,True,True,True,True,0
1,12,-8,132,49,1622,5300,13416,11405,True,True,True,True,True,True,True,0
1,13,-12,132,48,1633,5310,13435,11453,True,True,True,True,True,True,True,0
1,14,-6,132,50,1645,5320,13457,11465,True,True,True,True,True,True,True,0
1,15,-4,133,50,1656,5332,13508,11490,True,True,True,True,False,True,False,1
1,16,-4,133,48,1671,5339,13547,11526,True,True,True,True,False,False,False,3
1,17,-10,133,48,1685,5350,13567,11560,True,True,True,True,False,False,False,5
1,18,-12,133,48,1688,5353,13605,11623,True,True,True,False,False,False,False,8
1,19,-9,133,49,1706,5366,13661,11638,True,True,True,False,False,False,False,11
1,20,-12,134,50,1714,5371,13696,11670,True,True,True,False,False,False,False,14
1,21,-7,134,49,1725,5388,13708,11704,True,True,True,False,False,False,False,17
1,22,-9,134,50,1734,5393,13739,11751,True,True,True,False,False,False,False,20
1,23,-12,134,48,1749,5398,13804,11794,True,True,True,False,False,False,False,23
1,24,-1,134,50,1763,5410,13818,11805,True,True,False,False,False,False,False,27
1,25,-10,135,50,1772,5417,13872,11860,True,True,False,False,False,False,False,31
1,26,-11,135,49,1782,5429,13881,11902,True,True,False,False,False,False,False,35
1,27,-8,135,49,1796,5438,13914,11930,True,True,False,False,False,False,False,39
1,28,-5,135,48,1802,5448,13971,11976,True,True,False,False,False,False,False,43
1,29,-13,135,50,1808,5452,14006,11999,True,True,False,False,False,False,False,47
1,30,-15,136,50,1827,5464,14049,12036,True,True,False,False,False,False,False,51
1,31,0,136,50,1838,5472,14079,12066,True,True,False,False,False,False,False,55
1,32,-8,136,49,1847,5486,14096,12105,True,True,False,False,False,False,False,59
1,33,-12,136,49,1859,5496,14139,12132,True,True,False,False,False,False,False,63
1,34,-14,136,48,1870,5500,14156,12176,True,True,False,False,False,False,False,67
1,35,-8,137,49,1882,5514,14193,12198,True,True,False,False,False,False,False,71
1,36,-2,137,50,1894,5516,14239,12232,True,True,False,False,False,False,False,75
1,37,-6,137,49,1899,5532,14292,12260,True,True,False,False,False,False,False,79
1,38,-5,137,51,1910,5533,14309,12327,True,False,False,False,False,False,False,84
1,39,-8,137,49,1924,5545,14345,12359,True,True,False,False,False,False,False,88
1,40,-2,138,51,1929,5553,14393,12391,False,False,False,False,False,False,False,94
1,41,-5,138,50,1940,5560,14421,12419,False,True,False,False,False,False,False,99
1,42,-8,138,50,1961,5572,14447,12436,False,True,False,False,False,False,False,100
1,43,0,138,51,1970,5579,14487,12473,False,False,False,False,False,False,False,100
1,44,-5,138,51,1976,5591,14535,12538,False,False,False,False,False,False,False,100
1,45,-13,139,50,1989,5597,14541,12564,False,True,False,False,False,False,False,100
1,46,-6,139,52,1999,5612,14602,12603,False,False,False,False,False,False,False,100
1,47,-13,139,49,2014,5615,14638,12616,False,True,False,False,False,False,False,100
1,48,-2,139,51,2026,5631,14665,12670,False,False,False,False,False,False,False,100
1,49,-10,139,49,2037,5637,14685,12697,False,True,False,False,False,False,False,100
1,50,-8,140,49,2048,5644,14736,12719,False,True,False,False,False,False,False,100
1,51,-10,140,51,2060,5657,14756,12772,False,False,False,False,False,False,False,100
1,52,-11,140,49,2070,5665,14816,12793,False,True,False,False,False,False,False,100
1,53,-2,140,52,2072,5676,14824,12838,False,False,False,False,False,False,False,100
1,54,-14,140,49,2083,5682,14879,12859,False,True,False,False,False,False,False,100
1,55,-14,141,49,2104,5692,14906,12913,False,True,False,False,False,False,False,100
1,56,-3,141,50,2115,5700,14957,12955,False,True,False,False,False,False,False,100
1,57,-13,141,49,2117,5708,14991,12989,False,True,False,False,False,False,False,100
1,58,-13,141,49,2135,5713,15012,13020,False,True,False,False,False,False,False,100
1,59,-15,141,52,2138,5726,15045,13059,False,False,False,False,False,False,False,100
1,60,-7,142,51,2153,5731,15096,13066,False,False,False,False,False,False,False,100
2,1,-14,130,49,1300,5000,12000,1000,True,True,True,True,True,True,True,0
2,2,-12,130,49,1516,5213,13044,11050,True,True,True,True,True,True,True,0
2,3,-8,130,50,1522,5218,13082,11102,True,True,True,True,True,True,True,0
2,4,-5,130,50,1535,5228,13107,11112,True,True,True,True,True,True,True,0
2,5,-10,131,48,1552,5241,13168,11160,True,True,True,True,True,True,True,0
2,6,-7,131,48,1563,5245,13183,11181,True,True,True,True,True,True,True,0
2,7,-10,131,48,1574,5255,13215,11228,True,True,True,True,True,True,True,0
2,8,-11,131,49,1578,5271,13263,11254,True,True,True,True,True,True,True,0
2,9,-5,131,50,1592,5274,13313,11291,True,True,True,True,True,True,True,0
2,10,-14,132,48,1601,5283,13345,11323,True,True,True,True,True,True,True,0
2,11,0,132,50,1614,5293,13358,11383,True,True,True,True,True,True,True,0
2,12,-11,132,49,1623,5300,13415,11399,True,True,True,True,True,True,True,0
2,13,-15,132,48,1641,5312,13454,11449,True,True,True,True,True,True,True,0
2,14,-12,132,48,1648,5323,13467,11472,True,True,True,True,True,True,True,0
2,15,-5,133,50,1657,5330,13515,11512,True,True,True,True,False,False,False,2
2,16,-5,133,50,1669,5340,13548,11535,True,True,True,True,False,False,False,4
2,17,-7,133,50,1686,5345,13563,11583,True,True,True,True,False,False,False,6
2,18,-8,133,49,1697,5361,13603,11607,True,True,True,False,False,False,False,9
2,19,-15,133,49,1699,5370,13660,11657,True,True,True,False,False,False,False,12
2,20,-4,134,50,1714,5372,13671,11685,True,True,True,False,False,False,False,15
2,21,-3,134,48,1724,5387,13726,11734,True,True,True,False,False,False,False,18
2,22,-1,134,50,1739,5393,13764,11769,True,True,True,False,False,False,False,21
2,23,0,134,49,1750,5405,13771,11792,True,True,True,False,False,False,False,24
2,24,-14,134,49,1753,5412,13816,11822,True,True,False,False,False,False,False,28
2,25,-6,135,48,1771,5418,13870,11843,True,True,False,False,False,False,False,32
2,26,-3,135,48,1785,5426,13909,11885,True,True,False,False,False,False,False,36
2,27,-8,135,49,1788,5434,13940,11937,True,True,False,False,False,False,False,40
2,28,-14,135,49,1807,5444,13956,11954,True,True,False,False,False,False,False,44
2,29,-14,135,49,1817,5455,13989,11980,True,True,False,False,False,False,False,48
2,30,-4,136,50,1824,5463,14022,12031,True,True,False,False,False,False,False,52
2,31,-7,136,48,1838,5478,14077,12060,True,True,False,False,False,False,False,56
2,32,-8,136,48,1849,5480,14097,12108,True,True,False,False,False,False,False,60
2,33,-9,136,48,1853,5494,14144,12134,True,True,False,False,False,False,False,64
2,34,-7,136,50,1873,5498,14188,12159,True,True,False,False,False,False,False,68
2,35,-10,137,50,1875,5512,14213,12217,True,True,False,False,False,False,False,72
2,36,-3,137,50,1888,5518,14250,12255,True,True,False,False,False,False,False,76
2,37,-1,137,49,1902,5524,14289,12261,True,True,False,False,False,False,False,80
2,38,-15,137,52,1915,5536,14309,12309,True,False,False,False,False,False,False,85
2,39,-6,137,49,1918,5549,14338,12356,True,True,False,False,False,False,False,89
2,40,0,138,52,1931,5558,14399,12384,False,False,False,False,False,False,False,95
2,41,-11,138,52,1944,5562,14424,12401,False,False,False,False,False,False,False,100
2,42,-3,138,50,1954,5571,14456,12436,False,True,False,False,False,False,False,100
2,43,-4,138,52,1972,5580,14473,12485,False,False,False,False,False,False,False,100
2,44,-6,138,50,1977,5589,14530,12508,False,True,False,False,False,False,False,100
2,45,-6,139,52,1987,5598,14555,12541,False,False,False,False,False,False,False,100
2,46,0,139,52,1996,5605,14607,12607,False,False,False,False,False,False,False,100
2,47,-15,139,51,2008,5621,14635,12622,False,False,False,False,False,False,False,100
2,48,-1,139,51,2027,5625,14646,12645,False,False,False,False,False,False,False,100
2,49,-6,139,49,2035,5640,14690,12714,False,True,False,False,False,False,False,100
2,50,-12,140,52,2039,5645,14722,12720,False,False,False,False,False,False,False,100
2,51,-7,140,51,2059,5652,14779,12761,False,False,False,False,False,False,False,100
2,52,-10,140,50,2064,5663,14815,12788,False,True,False,False,False,False,False,100
2,53,-9,140,49,2080,5669,14848,12853,False,True,False,False,False,False,False,100
2,54,-10,140,50,2093,5679,14855,12884,False,True,False,False,False,False,False,100
2,55,-7,141,50,2094,5692,14902,12899,False,True,False,False,False,False,False,100
2,56,-6,141,49,2110,5697,14959,12938,False,True,False,False,False,False,False,100
2,57,-1,141,52,2116,5710,14964,12975,False,False,False,False,False,False,False,100
2,58,-11,141,49,2136,5713,14997,13003,False,True,False,False,False,False,False,100
2,59,-14,141,50,2139,5728,15037,13040,False,True,False,False,False,False,False,100
2,60,-12,142,50,2155,5737,15087,13068,False,True,False,False,False,False,False,100
3,1,-8,130,49,1300,5000,12000,1000,True,True,True,True,True,True,True,0
3,2,-7,130,50,1513,5210,13038,11063,True,True,True,True,True,True,True,0
3,3,0,130,49,1529,5222,13095,11074,True,True,True,True,True,True,True,0
3,4,-1,130,48,1536,5231,13128,11108,True,True,True,True,True,True,True,0
3,5,-9,131,50,1545,5243,13160,11148,True,True,True,True,True,True,True,0
3,6,-8,131,49,1556,5252,13206,11188,True,True,True,True,True,True,True,0
3,7,-7,131,49,1575,5257,13218,11238,True,True,True,True,True,True,True,0
3,8,-7,131,48,1585,5263,13266,11264,True,True,True,True,True,True,True,0
3,9,-8,131,50,1595,5274,13297,11294,True,True,True,True,True,True,True,0
3,10,-14,132,49,1600,5284,13330,11323,True,True,True,True,True,True,True,0
3,11,-10,132,48,1620,5290,13357,11359,True,True,True,True,True,True,True,0
3,12,-13,132,50,1624,5307,13394,11399,True,True,True,True,True,True,True,0
3,13,-8,132,48,1640,5312,13451,11438,True,True,True,True,True,True,True,0
3,14,-13,132,48,1647,5320,13475,11468,True,True,True,True,True,True,True,0
3,15,-2,133,49,1661,5331,13503,11493,True,True,True,True,False,True,False,1
3,16,-1,133,50,1671,5341,13540,11544,True,True,True,True,False,False,False,3
3,17,-2,133,50,1685,5344,13573,11583,True,True,True,True,False,False,False,5
3,18,-10,133,49,1696,5357,13616,11613,True,True,True,False,False,False,False,8
3,19,-12,133,48,1699,5367,13648,11658,True,True,True,False,False,False,False,11
3,20,-6,134,50,1714,5371,13699,11689,True,True,True,False,False,False,False,14
3,21,0,134,48,1723,5383,13719,11715,True,True,True,False,False,False,False,17
3,22,-7,134,49,1741,5391,13748,11763,True,True,True,False,False,False,False,20
3,23,0,134,49,1743,5398,13790,11787,True,True,True,False,False,False,False,23
3,24,-13,134,50,1756,5411,13827,11805,True,True,False,False,False,False,False,27
