engine,month,air_temp,noise,epr,egt,ff,n1,n2,noise_n,epr_n,egt_n,ff_n,n1_n,n2_n,normal,failure_prob
1,1,-10,130,48,1300,5000,12000,1000,True,True,True,True,True,True,True,0
1,2,-6,130,48,1616,5013,12067,10051,True,True,True,True,True,True,True,0
1,3,-9,130,50,1622,5021,12073,10094,True,True,True,True,True,True,True,0
1,4,-13,130,48,1635,5030,12105,10131,True,True,True,True,True,True,True,0
1,5,-1,131,49,1654,5038,12140,10153,True,True,True,True,True,True,True,0
1,6,-6,131,50,1659,5046,12201,10196,True,True,True,True,True,True,True,0
1,7,-8,131,49,1669,5061,12230,10234,True,True,True,True,True,True,True,0
1,8,-3,131,48,1685,5066,12268,10246,True,True,True,True,True,True,True,0
1,9,-15,131,50,1697,5077,12306,10305,True,True,True,True,True,True,True,0
1,10,-7,132,50,1700,5087,12336,10318,True,True,True,True,True,True,True,0
1,11,-1,132,49,1711,5091,12359,10382,True,True,True,True,True,True,True,0
1,12,-14,132,48,1723,5104,12406,10419,True,True,True,True,True,True,True,0
1,13,-11,132,48,1735,5116,12436,10426,True,True,True,True,True,True,True,0
1,14,-12,132,48,1750,5123,12466,10462,True,True,True,True,True,True,True,0
1,15,-8,133,50,1759,5130,12509,10520,True,True,False,True,True,True,False,3
1,16,-15,133,50,1770,5143,12548,10532,True,True,False,True,True,True,False,6
1,17,-1,133,50,1786,5148,12565,10568,True,True,False,True,True,True,False,9
1,18,-12,133,49,1793,5156,12624,10618,True,True,False,True,True,True,False,12
1,19,-8,133,50,1807,5170,12648,10637,True,True,False,True,True,True,False,15
1,20,-4,134,50,1815,5175,12682,10665,True,True,False,True,True,True,False,18
1,21,-3,134,50,1827,5183,12706,10722,True,True,False,True,True,True,False,21
1,22,-4,134,50,1841,5193,12761,10766,True,True,False,True,True,True,False,24
1,23,-2,134,48,1843,5199,12783,10803,True,True,False,True,True,True,False,27
1,24,-10,134,49,1858,5208,12814,10821,True,True,False,True,True,True,False,30
1,25,-6,135,48,1864,5220,12870,10845,True,True,False,True,True,True,False,33
1,26,-15,135,50,1875,5230,12880,10883,True,True,False,True,True,True,False,36
1,27,0,135,50,1891,5234,12926,10936,True,True,False,True,True,True,False,39
1,28,-13,135,48,1903,5248,12948,10969,True,True,False,True,True,True,False,42
1,29,-6,135,48,1916,5257,13005,10986,True,True,False,True,True,True,False,45
1,30,-12,136,49,1926,5261,13035,11045,True,True,False,True,True,True,False,48
1,31,-7,136,48,1938,5272,13055,11067,True,True,False,True,True,True,False,51
1,32,-8,136,49,1948,5282,13107,11104,True,True,False,True,True,True,False,54
1,33,-5,136,49,1952,5296,13148,11133,True,True,False,True,True,True,False,57
1,34,-14,136,48,1963,5302,13178,11158,True,True,False,True,True,True,False,60
1,35,-2,137,48,1982,5311,13214,11212,True,True,False,True,True,True,False,63
1,36,-11,137,50,1986,5315,13238,11257,True,True,False,True,True,True,False,66
1,37,0,137,50,2004,5331,13286,11293,True,True,False,True,True,True,False,69
1,38,-9,137,52,2014,5337,13311,11314,True,True,False,True,True,True,False,72
1,39,-5,137,49,2028,5343,13347,11362,True,True,False,True,True,True,False,75
1,40,-9,138,49,2031,5359,13393,11378,True,True,False,True,True,True,False,78
1,41,-1,138,49,2041,5361,13412,11418,True,True,False,True,True,True,False,81
1,42,-2,138,51,2051,5375,13460,11464,True,True,False,True,True,True,False,84
1,43,-12,138,52,2072,5380,13493,11495,True,True,False,True,True,True,False,87
1,44,-3,138,52,2078,5392,13518,11513,True,True,False,True,True,True,False,90
1,45,-3,139,49,2088,5397,13563,11572,True,True,False,True,True,True,False,93
1,46,-4,139,51,2104,5412,13599,11578,True,True,False,True,True,True,False,96
1,47,-15,139,51,2113,5420,13634,11642,True,True,False,True,True,True,False,99
1,48,-14,139,51,2127,5424,13675,11650,True,True,False,True,True,True,False,100
1,49,-6,139,50,2131,5432,13710,11682,True,True,False,True,True,True,False,100
1,50,-12,140,50,2141,5448,13718,11739,True,True,False,True,True,True,False,100
1,51,-6,140,49,2158,5454,13752,11781,True,True,False,True,True,True,False,100
1,52,-9,140,51,2166,5463,13815,11803,True,True,False,True,True,True,False,100
1,53,0,140,52,2177,5476,13832,11830,True,True,False,True,True,True,False,100
1,54,0,140,49,2186,5483,13858,11877,True,True,False,True,True,True,False,100
1,55,-3,141,50,2200,5487,13898,11901,True,True,False,True,True,True,False,100
1,56,-9,141,52,2210,5498,13941,11925,True,True,False,True,True,True,False,100
1,57,-1,141,49,2217,5506,13972,11963,True,True,False,True,True,True,False,100
1,58,-3,141,51,2231,5515,14000,12005,True,True,False,True,True,True,False,100
1,59,-14,141,51,2247,5522,14032,12051,True,True,False,True,True,True,False,100
1,60,-5,142,51,2251,5536,14099,12081,True,True,False,True,True,True,False,100
2,1,-7,130,48,1300,5000,12000,1000,True,True,True,True,True,True,True,0
2,2,-13,130,49,1617,5014,12051,10035,True,True,True,True,True,True,True,0
2,3,-11,130,48,1630,5018,12103,10070,True,True,True,True,True,True,True,0
2,4,-3,130,50,1634,5028,12133,10137,True,True,True,True,True,True,True,0
2,5,-7,131,49,1653,5044,12142,10140,True,True,True,True,True,True,True,0
2,6,-2,131,48,1662,5045,12200,10200,True,True,True,True,True,True,True,0
2,7,-12,131,50,1669,5060,12225,10217,True,True,True,True,True,True,True,0
2,8,-10,131,48,1687,5068,12277,10279,True,True,True,True,True,True,True,0
2,9,-10,131,48,1694,5072,12281,10293,True,True,True,True,True,True,True,0
2,10,-5,132,49,1705,5089,12334,10322,True,True,True,True,True,True,True,0
2,11,-4,132,49,1719,5098,12375,10373,True,True,True,True,True,True,True,0
2,12,-14,132,48,1730,5102,12387,10400,True,True,True,True,True,True,True,0
2,13,-3,132,48,1736,5112,12427,10426,True,True,True,True,True,True,True,0
2,14,-14,132,50,1747,5119,12458,10483,True,True,True,True,True,True,True,0
2,15,-13,133,50,1760,5132,12519,10516,True,True,False,True,True,True,False,3
2,16,-2,133,48,1770,5139,12548,10544,True,True,False,True,True,True,False,6
2,17,-6,133,50,1778,5145,12565,10577,True,True,False,True,True,True,False,9
2,18,-15,133,50,1794,5161,12601,10610,True,True,False,True,True,True,False,12
2,19,-13,133,50,1805,5164,12643,10662,True,True,False,True,True,True,False,15
2,20,0,134,50,1809,5176,12682,10681,True,True,False,True,True,True,False,18
2,21,-12,134,50,1828,5186,12717,10731,True,True,False,True,True,True,False,21
2,22,0,134,50,1838,5193,12746,10741,True,True,False,True,True,True,False,24
2,23,-12,134,48,1848,5201,12787,10791,True,True,False,True,True,True,False,27
2,24,-13,134,50,1857,5207,12825,10822,True,True,False,True,True,True,False,30
2,25,-15,135,50,1873,5224,12871,10857,True,True,False,True,True,True,False,33
2,26,-15,135,48,1882,5227,12898,10901,True,True,False,True,True,True,False,36
2,27,-6,135,50,1887,5241,12938,10944,True,True,False,True,True,True,False,39
2,28,-2,135,48,1901,5249,12947,10945,True,True,False,True,True,True,False,42
2,29,-6,135,48,1908,5259,13014,11013,True,True,False,True,True,True,False,45
2,30,-15,136,49,1926,5265,13045,11049,True,True,False,True,True,True,False,48
2,31,-15,136,49,1940,5278,13061,11057,True,True,False,True,True,True,False,51
2,32,-11,136,48,1950,5287,13093,11086,True,True,False,True,True,True,False,54
2,33,-12,136,50,1953,5295,13144,11154,True,True,False,True,True,True,False,57
2,34,-13,136,48,1968,5305,13165,11174,True,True,False,True,True,True,False,60
2,35,-11,137,50,1984,5311,13215,11207,True,True,False,True,True,True,False,63
2,36,-3,137,49,1988,5322,13231,11233,True,True,False,True,True,True,False,66
2,37,-2,137,52,2004,5328,13289,11262,True,True,False,True,True,True,False,69
2,38,-7,137,52,2012,5333,13322,11300,True,True,False,True,True,True,False,72
