engine,month,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,total_fp
1,1,130.0,1300,5000,12000,10000,0.0,0.0,0.0,0.0,0.0,0.0
1,2,130.51561911852457,1328,5015,12090,10093,0.0,0.0,0.0,0.0,0.0,0.0
1,3,131.02793333978005,1365,5040,12171,10175,0.0,0.0,0.0,0.0,0.0,0.0
1,4,131.57447287749466,1394,5058,12251,10252,0.0,0.0,0.0,0.0,0.0,0.0
1,5,131.8039292299305,1431,5071,12331,10340,0.0,0.0,0.0,0.0,0.0,0.0
1,6,132.22077230655293,1468,5088,12406,10410,0.0,0.0,0.0,0.0,0.0,0.0
1,7,132.34397969560672,1503,5112,12480,10490,0.0,0.0,0.0,0.0,0.0,0.0
1,8,132.52826139533258,1525,5129,12549,10569,0.0,0.0,0.0,0.0,0.0,0.0
1,9,132.9149565552119,1543,5157,12640,10647,0.0,0.0,0.0,0.0,0.0,0.0
1,10,133.395735564742,1583,5183,12730,10731,0.0,0.0,0.0,0.0,0.0,0.0
1,11,133.65728985894324,1614,5203,12815,10817,0.0,0.0,0.0,0.0,0.0,0.0
1,12,134.12098627050364,1633,5236,12892,10897,0.0,0.0,0.0,0.0,0.0,0.0
1,13,134.56731920503316,1668,5266,12961,10985,0.0,0.0,0.0,0.0,0.0,0.0
1,14,134.97023605449604,1703,5291,13049,11070,0.0,0.0,0.0,0.0,0.0,0.0
1,15,135.23306430974407,1723,5313,13142,11150,0.0,0.0,0.0,0.0,0.0,0.0
1,16,135.73736409907838,1738,5324,13230,11244,0.0,0.0,0.0,0.0,0.0,0.0
1,17,136.26832097100953,1771,5345,13323,11336,0.0,0.0,0.0,0.0,0.0,0.0
1,18,136.80785043978238,1795,5366,13413,11413,0.0,0.0,0.0,0.0,0.0,0.0
1,19,136.9679049472094,1825,5388,13482,11503,0.0,0.0,0.0,0.0,0.0,0.0
1,20,137.37513405996174,1853,5404,13565,11589,0.06252234332695632,0.0,0.0,0.0,0.0,0.012504468665391264
1,21,137.76699814039046,1876,5433,13643,11661,0.1278330233984093,0.0,0.0,0.0,0.0,0.02556660467968186
1,22,138.00694289458843,1895,5454,13731,11743,0.16782381576473904,0.0,0.0,0.0,0.0,0.033564763152947805
1,23,138.37400460355343,1915,5469,13805,11830,0.2290007672589051,0.025,0.0,0.0,0.0,0.05080015345178103
1,24,138.79385592367285,1936,5489,13889,11908,0.2989759872788085,0.06,0.0,0.0,0.0,0.0717951974557617
1,25,139.1406386643271,1976,5499,13979,12000,0.35677311072118323,0.12666666666666665,0.0,0.0,0.0,0.09668795547756998
1,26,139.24293506565155,2002,5529,14060,12075,0.3738225109419252,0.17,0.057999999999999996,0.03,0.0375,0.13386450218838505
1,27,139.70218892152633,2032,5547,14146,12161,0.4503648202543882,0.22,0.094,0.073,0.0805,0.1835729640508776
1,28,139.83576520950737,2070,5579,14229,12235,0.47262753491789533,0.2833333333333333,0.158,0.11449999999999999,0.1175,0.22919217365024572
1,29,140.16148104254867,2087,5591,14297,12315,0.5269135070914455,0.3116666666666667,0.182,0.1485,0.1575,0.26531603475162246
1,30,140.35473079020528,2105,5624,14371,12407,0.5591217983675468,0.3416666666666666,0.248,0.1855,0.20350000000000001,0.3075576930068427
1,31,140.6472026505633,2137,5640,14460,12480,0.6078671084272145,0.395,0.28,0.23,0.24,0.3505734216854429
1,32,140.86423844671464,2153,5662,14528,12551,0.6440397411191063,0.42166666666666663,0.324,0.264,0.2755,0.38584128155715464
1,33,141.21460372349202,2178,5692,14618,12634,0.7024339539153366,0.4633333333333334,0.384,0.309,0.317,0.43515345744973394
1,34,141.60677128273198,2196,5719,14707,12727,0.7677952137886641,0.49333333333333335,0.43799999999999994,0.35350000000000004,0.3635,0.4832257094243995
1,35,142.0526821864799,2227,5737,14791,12810,0.8421136977466499,0.545,0.474,0.39549999999999996,0.405,0.53232273954933
1,36,142.48231835873776,2262,5769,14873,12891,0.9137197264562928,0.6033333333333334,0.5379999999999999,0.4365,0.44549999999999995,0.5874106119579252
1,37,142.85959577038258,2284,5796,14948,12962,0.9765992950637639,0.64,0.5920000000000001,0.474,0.48100000000000004,0.6327198590127528
1,38,143.14794393107366,2307,5821,15033,13046,1.0,0.6783333333333332,0.642,0.5165,0.523,0.6719666666666666
1,39,143.50639013592476,2329,5836,15121,13136,1.0,0.715,0.672,0.5605,0.568,0.7031
1,40,144.02864041970957,2369,5846,15205,13210,1.0,0.7816666666666667,0.6920000000000001,0.6025,0.605,0.7362333333333334
1,41,144.55880701338305,2403,5866,15276,13285,1.0,0.8383333333333333,0.732,0.638,0.6425,0.7701666666666667
1,42,144.86945588477045,2420,5878,15356,13364,1.0,0.8666666666666667,0.7559999999999999,0.6779999999999999,0.682,0.7965333333333333
1,43,144.9939551174638,2436,5903,15428,13433,1.0,0.8933333333333333,0.8059999999999999,0.7140000000000001,0.7165,0.8259666666666666
1,44,145.42730771993703,2469,5924,15508,13525,1.0,0.9483333333333333,0.848,0.754,0.7625,0.8625666666666666
1,45,145.90641102834076,2508,5955,15602,13614,1.0,1.0,0.91,0.8009999999999999,0.807,0.9036000000000002
1,46,146.28448599340683,2542,5982,15672,13703,1.0,1.0,0.9640000000000001,0.836,0.8515,0.9302999999999999
1,47,146.77477496143487,2568,5998,15750,13786,1.0,1.0,0.996,0.875,0.893,0.9528000000000001
1,48,147.24928367109626,2595,6030,15826,13880,1.0,1.0,1.0,0.9129999999999999,0.94,0.9705999999999999
1,49,147.6018973813519,2612,6049,15905,13951,1.0,1.0,1.0,0.9525,0.9754999999999999,0.9856
1,50,147.79390873705205,2629,6062,15990,14044,1.0,1.0,1.0,0.995,1.0,0.999
1,51,148.0109200356559,2648,6079,16063,14118,1.0,1.0,1.0,1.0,1.0,1.0
1,52,148.14984328522587,2687,6101,16157,14186,1.0,1.0,1.0,1.0,1.0,1.0
1,53,148.45850310612718,2704,6114,16245,14259,1.0,1.0,1.0,1.0,1.0,1.0
1,54,148.6575101546714,2731,6136,16315,14335,1.0,1.0,1.0,1.0,1.0,1.0
1,55,148.8281829013867,2770,6157,16389,14411,1.0,1.0,1.0,1.0,1.0,1.0
1,56,149.15198208451022,2794,6182,16474,14481,1.0,1.0,1.0,1.0,1.0,1.0
1,57,149.60559639981744,2824,6201,16545,14569,1.0,1.0,1.0,1.0,1.0,1.0
1,58,149.97946078388233,2846,6219,16632,14648,1.0,1.0,1.0,1.0,1.0,1.0
1,59,150.18994938639133,2862,6245,16719,14739,1.0,1.0,1.0,1.0,1.0,1.0
1,60,150.505497073177,2895,6268,16793,14808,1.0,1.0,1.0,1.0,1.0,1.0
2,1,130.0,1300,5000,12000,10000,0.0,0.0,0.0,0.0,0.0,0.0
2,2,130.27916535424123,1331,5015,12077,10091,0.0,0.0,0.0,0.0,0.0,0.0
2,3,130.4737157839051,1353,5035,12149,10185,0.0,0.0,0.0,0.0,0.0,0.0
2,4,130.7226956992761,1384,5046,12225,10259,0.0,0.0,0.0,0.0,0.0,0.0
2,5,130.9612155638471,1408,5068,12299,10340,0.0,0.0,0.0,0.0,0.0,0.0
2,6,131.3382215863335,1435,5083,12383,10430,0.0,0.0,0.0,0.0,0.0,0.0
2,7,131.62529677103134,1469,5112,12471,10514,0.0,0.0,0.0,0.0,0.0,0.0
2,8,131.96603926835704,1504,5135,12563,10604,0.0,0.0,0.0,0.0,0.0,0.0
2,9,132.0697038730014,1544,5155,12653,10690,0.0,0.0,0.0,0.0,0.0,0.0
2,10,132.2622528349213,1564,5174,12747,10764,0.0,0.0,0.0,0.0,0.0,0.0
2,11,132.5505871325669,1585,5195,12816,10855,0.0,0.0,0.0,0.0,0.0,0.0
2,12,133.0657928049068,1625,5210,12891,10939,0.0,0.0,0.0,0.0,0.0,0.0
2,13,133.55459932312075,1665,5236,12972,11011,0.0,0.0,0.0,0.0,0.0,0.0
2,14,133.76686194326268,1703,5262,13045,11095,0.0,0.0,0.0,0.0,0.0,0.0
2,15,133.9469950353904,1728,5272,13117,11183,0.0,0.0,0.0,0.0,0.0,0.0
2,16,134.0485367554058,1761,5300,13192,11252,0.0,0.0,0.0,0.0,0.0,0.0
2,17,134.5776628972868,1801,5325,13271,11338,0.0,0.0,0.0,0.0,0.0,0.0
2,18,134.94770489939447,1817,5354,13365,11419,0.0,0.0,0.0,0.0,0.0,0.0
2,19,135.24111194869707,1848,5375,13456,11489,0.0,0.0,0.0,0.0,0.0,0.0
2,20,135.5588469912565,1873,5404,13546,11568,0.0,0.0,0.0,0.0,0.0,0.0
2,21,135.9746267710845,1905,5436,13616,11642,0.0,0.008333333333333333,0.0,0.0,0.0,0.0016666666666666666
2,22,136.51135369807008,1928,5450,13691,11718,0.0,0.04666666666666667,0.0,0.0,0.0,0.009333333333333334
2,23,136.66977532518203,1968,5460,13761,11794,0.0,0.11333333333333334,0.0,0.0,0.0,0.02266666666666667
2,24,137.035998276394,1999,5483,13834,11873,0.005999712732332796,0.165,0.0,0.0,0.0,0.034199942546466564
2,25,137.48948920726454,2037,5510,13915,11944,0.08158153454409009,0.22833333333333333,0.02,0.0,0.0,0.06598297357548469
2,26,137.77411148446436,2056,5526,13992,12025,0.12901858074405936,0.26,0.052000000000000005,0.0,0.0125,0.09070371614881187
2,27,137.99797843750292,2074,5539,14085,12097,0.16632973958382047,0.29,0.078,0.0425,0.048499999999999995,0.1250659479167641
2,28,138.52376033550493,2103,5549,14159,12180,0.2539600559174886,0.3383333333333334,0.098,0.0795,0.09,0.1719586778501644
2,29,138.73112058084902,2122,5567,14250,12271,0.2885200968081705,0.37,0.134,0.125,0.1355,0.2106040193616341
2,30,138.83885493613542,2137,5598,14319,12346,0.30647582268923657,0.395,0.196,0.1595,0.17300000000000001,0.2459951645378473
2,31,139.26589644372046,2156,5622,14402,12426,0.3776494072867441,0.42666666666666664,0.244,0.201,0.213,0.29246321479068216
2,32,139.57786717979567,2195,5652,14485,12509,0.4296445299659458,0.49166666666666664,0.304,0.2425,0.2545,0.3444622393265225
2,33,140.03264056366234,2218,5675,14576,12583,0.5054400939437235,0.53,0.35,0.28800000000000003,0.2915,0.3929880187887447
2,34,140.28370090052155,2236,5692,14667,12657,0.5472834834202587,0.56,0.384,0.3335,0.3285,0.4306566966840517
2,35,140.59932583986892,2251,5719,14745,12735,0.5998876399781542,0.585,0.43799999999999994,0.3725,0.3675,0.47257752799563085
2,36,141.05579730941943,2279,5734,14822,12829,0.6759662182365722,0.6316666666666666,0.46799999999999997,0.41100000000000003,0.41450000000000004,0.5202265769806478
2,37,141.43240577162285,2297,5751,14911,12917,0.7387342952704756,0.6616666666666667,0.502,0.45549999999999996,0.4585,0.5632801923874284
2,38,141.8286808842581,2323,5773,15000,12995,0.8047801473763485,0.705,0.546,0.5,0.4975,0.6106560294752698
2,39,142.1836461154968,2347,5805,15077,13075,0.8639410192494665,0.745,0.61,0.5385,0.5375,0.6589882038498933
2,40,142.6791093865819,2384,5837,15145,13166,0.9465182310969833,0.8066666666666668,0.674,0.5725,0.583,0.7165369795527301
2,41,143.21581845745797,2420,5857,15238,13240,1.0,0.8666666666666667,0.7140000000000001,0.619,0.62,0.7639333333333334
2,42,143.56243541007007,2443,5877,15327,13327,1.0,0.905,0.754,0.6635,0.6635,0.7971999999999999
2,43,143.8465734552055,2467,5902,15412,13416,1.0,0.945,0.804,0.706,0.708,0.8325999999999999
2,44,144.0624175370621,2492,5935,15482,13485,1.0,0.9866666666666667,0.87,0.741,0.7425,0.8680333333333333
2,45,144.42928915048094,2522,5952,15571,13565,1.0,1.0,0.904,0.7855,0.7825,0.8943999999999999
2,46,144.9759561915725,2560,5970,15648,13645,1.0,1.0,0.94,0.8240000000000001,0.8225,0.9173
2,47,145.4655114839236,2597,5998,15728,13732,1.0,1.0,0.996,0.8640000000000001,0.866,0.9452
2,48,145.71508886034042,2617,6022,15813,13804,1.0,1.0,1.0,0.9065000000000001,0.902,0.9617000000000001
2,49,145.84089455606312,2648,6041,15881,13880,1.0,1.0,1.0,0.9405,0.94,0.9761
2,50,146.29846072975263,2683,6072,15966,13957,1.0,1.0,1.0,0.983,0.9784999999999999,0.9923
2,51,146.84557276432852,2709,6099,16037,14032,1.0,1.0,1.0,1.0,1.0,1.0
2,52,147.2482917645529,2744,6122,16121,14119,1.0,1.0,1.0,1.0,1.0,1.0
2,53,147.65214558911822,2776,6142,16190,14193,1.0,1.0,1.0,1.0,1.0,1.0
2,54,147.98910250800824,2804,6162,16284,14271,1.0,1.0,1.0,1.0,1.0,1.0
2,55,148.18226806308616,2823,6174,16354,14360,1.0,1.0,1.0,1.0,1.0,1.0
2,56,148.33936914412686,2840,6190,16448,14437,1.0,1.0,1.0,1.0,1.0,1.0
2,57,148.8084830256162,2871,6204,16525,14515,1.0,1.0,1.0,1.0,1.0,1.0
2,58,149.26375034020268,2898,6231,16608,14585,1.0,1.0,1.0,1.0,1.0,1.0
2,59,149.4906596844761,2923,6263,16688,14679,1.0,1.0,1.0,1.0,1.0,1.0
2,60,149.79300775238244,2938,6276,16768,14761,1.0,1.0,1.0,1.0,1.0,1.0
3,1,130.0,1300,5000,12000,10000,0.0,0.0,0.0,0.0,0.0,0.0
3,2,130.44054426714553,1319,5023,12074,10077,0.0,0.0,0.0,0.0,0.0,0.0
3,3,130.94164840223155,1354,5054,12155,10159,0.0,0.0,0.0,0.0,0.0,0.0
3,4,131.10304876641587,1384,5067,12243,10250,0.0,0.0,0.0,0.0,0.0,0.0
3,5,131.46244527949867,1408,5078,12333,10320,0.0,0.0,0.0,0.0,0.0,0.0
3,6,131.99539180923392,1443,5109,12416,10393,0.0,0.0,0.0,0.0,0.0,0.0
3,7,132.13295749827813,1469,5139,12501,10478,0.0,0.0,0.0,0.0,0.0,0.0
3,8,132.43954513234934,1508,5151,12574,10564,0.0,0.0,0.0,0.0,0.0,0.0
3,9,132.77968832849055,1528,5168,12661,10654,0.0,0.0,0.0,0.0,0.0,0.0
3,10,133.30036220643672,1550,5193,12748,10746,0.0,0.0,0.0,0.0,0.0,0.0
3,11,133.7983074569808,1588,5207,12825,10828,0.0,0.0,0.0,0.0,0.0,0.0
3,12,133.9601558418361,1614,5234,12899,10897,0.0,0.0,0.0,0.0,0.0,0.0
3,13,134.06755033389095,1639,5254,12978,10973,0.0,0.0,0.0,0.0,0.0,0.0
3,14,134.3299286933609,1673,5275,13057,11053,0.0,0.0,0.0,0.0,0.0,0.0
3,15,134.87663018083492,1696,5290,13125,11134,0.0,0.0,0.0,0.0,0.0,0.0
3,16,135.33227005677753,1734,5322,13214,11202,0.0,0.0,0.0,0.0,0.0,0.0
3,17,135.79864317804632,1758,5339,13303,11281,0.0,0.0,0.0,0.0,0.0,0.0
3,18,136.22515132789908,1775,5369,13395,11361,0.0,0.0,0.0,0.0,0.0,0.0
3,19,136.62824501045898,1814,5396,13483,11445,0.0,0.0,0.0,0.0,0.0,0.0
3,20,136.76382926357195,1830,5422,13567,11535,0.0,0.0,0.0,0.0,0.0,0.0
3,21,136.97272813229134,1862,5450,13647,11622,0.0,0.0,0.0,0.0,0.0,0.0
3,22,137.21140034642798,1877,5460,13726,11704,0.035233391071329834,0.0,0.0,0.0,0.0,0.007046678214265967
3,23,137.33529884937184,1897,5492,13812,11781,0.05588314156197309,0.0,0.0,0.0,0.0,0.011176628312394618
3,24,137.59445432496705,1918,5519,13889,11860,0.099075720827841,0.03,0.038,0.0,0.0,0.0334151441655682
3,25,137.9196826858686,1947,5545,13969,11935,0.15328044764476564,0.07833333333333332,0.09,0.0,0.0,0.0643227561956198
3,26,138.0761084106948,1984,5570,14056,12012,0.1793514017824644,0.14,0.14,0.027999999999999997,0.006,0.09867028035649288
3,27,138.55860096323883,2000,5580,14136,12082,0.2597668272064719,0.16666666666666669,0.16,0.068,0.040999999999999995,0.13908669877462773
3,28,139.05262019801856,2024,5598,14207,12176,0.3421033663364266,0.20666666666666667,0.196,0.1035,0.08800000000000001,0.18725400660061867
3,29,139.2497553387243,2064,5623,14278,12259,0.3749592231207165,0.2733333333333333,0.24600000000000002,0.139,0.1295,0.23255851129080995
3,30,139.73916138122956,2090,5648,14367,12348,0.4565268968715941,0.31666666666666665,0.29600000000000004,0.18350000000000002,0.174,0.28533871270765215
3,31,140.15189068937494,2116,5681,14446,12424,0.5253151148958229,0.36,0.36200000000000004,0.223,0.212,0.33646302297916464
